Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,18,0.308,0.030,0.113,0.897,18.959,110.347
1,23,0.212,0.034,0.105,0.859,21.566,127.848
2,16,0.201,0.033,0.087,0.832,11.405,80.360
3,13,0.217,0.037,0.085,0.762,7.707,63.409
4,16,0.202,0.051,0.098,0.768,10.731,79.208
5,14,0.278,0.034,0.073,0.830,7.727,66.686
6,23,0.217,0.017,0.043,0.881,19.096,127.783
7,20,0.224,0.037,0.085,0.881,17.294,111.572
8,18,0.322,0.072,0.140,0.762,15.251,96.533
9,16,0.217,0.064,0.144,0.812,10.394,78.896
10,18,0.341,0.045,0.111,0.830,11.630,90.437
11,14,0.232,0.017,0.077,0.824,10.306,70.739
12,15,0.264,0.040,0.096,0.872,10.373,74.697
13,14,0.244,0.061,0.133,0.822,9.610,69.077
14,24,0.241,0.048,0.127,0.829,19.013,129.968
15,14,0.211,0.039,0.108,0.831,9.825,68.957
16,8,0.199,0.009,0.023,0.766,3.208,39.336
17,16,0.262,0.032,0.089,0.918,12.450,82.710
18,22,0.194,0.048,0.130,0.765,15.721,112.673
19,15,0.172,0.033,0.102,0.779,10.128,73.591
20,9,0.337,0.047,0.120,0.955,4.670,43.839
21,15,0.280,0.030,0.095,0.919,11.580,75.272
22,16,0.205,0.062,0.122,0.806,10.850,78.569
23,20,0.253,0.042,0.094,0.862,16.708,106.252
24,16,0.274,0.023,0.079,0.831,12.284,80.455
25,15,0.214,0.043,0.099,0.810,9.330,72.815
26,23,0.305,0.060,0.140,0.817,16.251,125.967
27,20,0.249,0.045,0.087,0.891,18.232,108.491
28,16,0.292,0.036,0.095,0.843,11.827,81.438
29,12,0.346,0.015,0.031,0.724,7.624,58.300
