Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,23,0.076,0.048,0.085,0.736,0.096,118.100
1,13,0.287,0.031,0.074,0.601,0.022,53.908
2,9,0.351,0.056,0.098,0.810,0.018,38.076
3,6,0.329,0.056,0.100,0.686,0.005,28.455
4,16,0.105,0.068,0.163,0.628,0.025,66.765
5,12,0.204,0.075,0.128,0.753,0.015,49.733
6,13,0.311,0.029,0.076,0.897,0.038,55.029
7,26,0.121,0.048,0.107,0.750,0.096,125.245
8,14,0.248,0.118,0.172,0.742,0.031,60.381
9,15,0.096,0.062,0.146,0.604,0.028,62.955
10,8,0.274,0.014,0.037,0.790,0.018,35.159
11,20,0.320,0.057,0.136,0.802,0.046,86.365
12,19,0.156,0.039,0.113,0.789,0.031,84.248
13,12,0.303,0.041,0.091,0.785,0.020,48.899
14,12,0.196,0.029,0.083,0.748,0.019,49.427
15,16,0.122,0.028,0.129,0.670,0.026,67.136
16,9,0.151,0.038,0.125,0.704,0.012,38.053
17,12,0.226,0.042,0.095,0.887,0.020,50.390
18,11,0.120,0.044,0.083,0.738,0.018,46.076
19,20,0.084,0.039,0.127,0.613,0.038,87.989
20,15,0.194,0.063,0.130,0.765,0.022,61.625
21,26,0.189,0.041,0.083,0.806,0.051,118.594
22,8,0.224,0.061,0.099,0.668,0.009,34.547
23,10,0.232,0.038,0.101,0.733,0.014,42.397
24,23,0.261,0.039,0.094,0.854,0.064,103.009
25,22,0.158,0.068,0.143,0.620,0.040,94.994
26,16,0.197,0.034,0.081,0.829,0.023,67.370
27,10,0.374,0.048,0.108,0.826,0.014,40.755
28,18,0.146,0.061,0.119,0.663,0.039,76.441
29,14,0.235,0.080,0.105,0.702,0.020,58.348
