Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,24,0.105,0.056,0.099,0.653,0.076,133.135
1,16,0.123,0.039,0.085,0.652,0.031,69.457
2,24,0.200,0.044,0.103,0.816,0.044,108.093
3,11,0.242,0.040,0.086,0.782,0.016,46.443
4,13,0.108,0.047,0.098,0.632,0.017,55.430
5,12,0.239,0.050,0.121,0.752,0.015,50.455
6,21,0.203,0.022,0.046,0.814,0.052,98.264
7,10,0.226,0.010,0.035,0.785,0.022,43.954
8,17,0.286,0.056,0.099,0.763,0.041,74.598
9,13,0.205,0.030,0.088,0.752,0.020,55.471
10,14,0.171,0.056,0.117,0.677,0.027,59.454
11,11,0.221,0.037,0.091,0.768,0.014,46.196
12,18,0.155,0.030,0.077,0.717,0.026,76.879
13,14,0.160,0.035,0.085,0.690,0.021,58.083
14,22,0.231,0.044,0.101,0.790,0.036,100.615
15,16,0.118,0.030,0.092,0.720,0.024,67.930
16,8,0.146,0.009,0.017,0.765,0.009,34.935
17,18,0.225,0.049,0.134,0.766,0.029,76.612
18,12,0.148,0.010,0.021,0.696,0.019,50.179
19,16,0.235,0.031,0.101,0.784,0.023,69.356
20,10,0.235,0.030,0.106,0.829,0.011,42.160
21,15,0.267,0.058,0.125,0.900,0.024,65.942
22,12,0.201,0.038,0.100,0.638,0.015,50.138
23,18,0.268,0.046,0.087,0.854,0.035,77.001
24,13,0.220,0.031,0.094,0.701,0.020,53.501
25,17,0.178,0.034,0.081,0.684,0.024,71.715
26,16,0.170,0.042,0.095,0.723,0.020,68.433
27,20,0.209,0.051,0.091,0.860,0.035,89.799
28,13,0.164,0.049,0.084,0.645,0.021,55.347
29,12,0.401,0.037,0.085,0.726,0.014,49.380
