Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,6,0.392,0.000,0.001,0.997,1.099,21.821
1,6,0.444,0.001,0.002,0.993,1.119,22.620
2,5,0.382,0.002,0.004,0.999,0.994,19.253
3,3,0.498,0.000,0.000,1.000,0.776,13.185
4,1,0.338,0.000,0.000,0.988,0.529,7.564
5,3,0.418,0.000,0.000,0.999,0.716,13.128
6,6,0.409,0.004,0.012,1.000,1.145,22.566
7,4,0.437,0.000,0.000,0.999,0.955,16.243
8,2,0.482,0.001,0.001,0.994,0.581,10.341
9,4,0.421,0.000,0.000,1.000,0.765,15.920
10,4,0.355,0.000,0.000,0.996,0.900,15.972
11,4,0.469,0.001,0.002,1.000,0.888,16.101
12,2,0.401,0.000,0.000,1.000,0.651,10.262
13,4,0.477,0.000,0.002,1.000,0.901,16.198
14,5,0.418,0.000,0.001,0.999,0.936,18.942
15,1,0.428,0.000,0.000,1.000,0.495,7.608
16,3,0.514,0.001,0.002,1.000,0.748,13.204
17,1,0.379,0.000,0.000,1.000,0.562,7.643
18,1,0.358,0.000,0.000,1.000,0.534,7.600
19,3,0.411,0.000,0.000,1.000,0.743,13.203
20,4,0.399,0.000,0.000,1.000,0.919,16.401
21,2,0.391,0.000,0.000,1.000,0.706,10.418
22,2,0.383,0.000,0.000,1.000,0.677,10.504
23,3,0.425,0.000,0.000,1.000,0.655,12.983
24,4,0.390,0.001,0.001,0.987,0.845,16.405
25,3,0.471,0.000,0.000,0.996,0.803,13.151
26,4,0.430,0.000,0.000,0.999,0.855,15.831
27,4,0.427,0.000,0.000,1.000,0.898,16.208
28,2,0.413,0.000,0.000,1.000,0.657,10.233
29,1,0.378,0.000,0.000,1.000,0.577,7.644
