Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,11,0.201,0.070,0.092,0.711,240.479,307.241
1,7,0.306,0.053,0.100,0.679,120.236,173.273
2,12,0.276,0.055,0.114,0.681,167.833,221.494
3,6,0.256,0.095,0.157,0.685,97.337,128.201
4,12,0.149,0.044,0.097,0.633,138.896,187.945
5,7,0.198,0.032,0.064,0.743,108.893,160.782
6,4,0.378,0.026,0.070,0.923,77.666,119.389
7,9,0.311,0.062,0.097,0.784,159.639,214.608
8,12,0.404,0.117,0.302,0.685,141.735,194.773
9,8,0.176,0.059,0.110,0.702,108.183,143.993
10,5,0.146,0.039,0.093,0.796,84.477,117.249
11,15,0.343,0.140,0.501,0.646,210.125,277.168
12,6,0.293,0.069,0.114,0.814,62.258,111.270
13,8,0.295,0.054,0.120,0.748,101.312,136.352
14,4,0.369,0.044,0.157,0.882,63.048,99.153
15,9,0.305,0.078,0.127,0.692,118.415,176.718
16,9,0.136,0.058,0.085,0.683,86.044,129.475
17,6,0.416,0.020,0.029,0.979,90.350,132.651
18,10,0.256,0.068,0.091,0.731,139.949,192.764
19,7,0.235,0.040,0.078,0.672,92.966,146.243
20,7,0.346,0.044,0.074,0.799,94.383,148.650
21,8,0.398,0.073,0.094,0.853,137.355,174.350
22,8,0.266,0.085,0.127,0.657,105.462,147.008
23,7,0.328,0.043,0.068,0.749,94.183,126.139
24,9,0.248,0.052,0.121,0.689,126.746,173.341
25,9,0.246,0.048,0.101,0.680,115.317,166.131
26,6,0.278,0.020,0.069,0.790,80.974,130.650
27,10,0.260,0.059,0.164,0.749,139.680,186.901
28,10,0.254,0.069,0.098,0.644,136.465,180.559
29,13,0.239,0.081,0.161,0.619,139.272,205.542
