Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,21,0.343,0.022,0.077,0.839,2.745,101.169
1,10,0.427,0.010,0.033,0.836,1.638,47.703
2,16,0.243,0.038,0.081,0.785,2.296,73.562
3,19,0.245,0.071,0.241,0.743,2.277,84.716
4,13,0.262,0.040,0.117,0.839,1.589,61.169
5,13,0.221,0.027,0.095,0.788,1.715,60.887
6,20,0.252,0.056,0.143,0.869,3.354,97.886
7,30,0.208,0.043,0.097,0.789,4.766,162.269
8,19,0.294,0.060,0.131,0.721,2.708,87.279
9,13,0.338,0.024,0.094,0.903,1.835,58.372
10,23,0.247,0.055,0.120,0.801,3.364,112.520
11,20,0.252,0.056,0.100,0.785,2.727,92.823
12,16,0.249,0.034,0.076,0.833,2.022,72.837
13,23,0.268,0.058,0.111,0.864,2.305,106.737
14,17,0.293,0.067,0.154,0.844,1.955,81.989
15,10,0.207,0.024,0.049,0.809,1.445,47.582
16,12,0.172,0.050,0.089,0.703,1.751,56.087
17,21,0.244,0.025,0.078,0.853,2.617,102.414
18,19,0.143,0.051,0.098,0.734,2.871,89.794
19,25,0.256,0.055,0.120,0.763,3.341,125.516
20,25,0.261,0.032,0.085,0.808,2.760,126.322
21,16,0.292,0.031,0.307,0.901,2.358,73.755
22,11,0.271,0.018,0.055,0.787,1.316,51.298
23,16,0.278,0.036,0.095,0.886,2.928,73.651
24,23,0.228,0.051,0.107,0.772,2.763,111.814
25,22,0.204,0.067,0.141,0.729,3.500,105.855
26,14,0.311,0.044,0.097,0.831,1.971,65.505
27,10,0.325,0.020,0.078,0.885,1.520,46.484
28,15,0.163,0.073,0.113,0.650,1.949,69.189
29,23,0.277,0.060,0.118,0.686,2.797,111.887
