Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,5,0.410,0.003,0.005,0.911,3.823,22.043
1,12,0.412,0.014,0.041,0.792,8.195,49.914
2,18,0.441,0.010,0.042,0.877,18.049,86.275
3,6,0.443,0.002,0.003,0.866,4.677,26.077
4,10,0.467,0.003,0.008,0.942,8.494,42.275
5,11,0.391,0.009,0.024,0.805,7.944,47.597
6,7,0.427,0.327,1.712,0.876,5.543,29.896
7,10,0.432,0.006,0.014,0.784,9.027,44.787
8,14,0.385,0.008,0.022,0.867,12.371,62.224
9,8,0.440,0.005,0.009,0.903,6.396,34.042
10,4,0.450,0.002,0.007,0.947,1.553,17.311
11,9,0.457,0.002,0.004,0.857,6.791,38.472
12,13,0.425,0.005,0.012,0.809,15.946,64.793
13,4,0.439,0.081,0.322,0.950,3.417,19.003
14,19,0.405,0.010,0.022,0.860,19.954,91.403
15,10,0.446,0.011,0.028,0.869,5.968,41.404
16,10,0.451,0.006,0.012,0.897,8.503,43.700
17,19,0.452,0.008,0.029,0.863,19.334,90.432
18,6,0.425,0.071,0.422,0.926,4.212,25.689
19,14,0.407,0.012,0.025,0.865,13.869,64.392
20,14,0.500,0.005,0.013,0.896,10.324,60.050
21,9,0.465,0.007,0.012,0.891,6.330,37.372
22,7,0.486,0.002,0.003,0.942,6.055,30.149
23,8,0.426,0.004,0.006,0.866,6.366,34.542
24,14,0.460,0.005,0.013,0.881,12.792,64.242
25,7,0.470,0.003,0.005,0.863,5.294,29.572
26,11,0.415,0.007,0.015,0.925,9.666,47.606
27,11,0.450,0.002,0.005,0.961,8.160,45.404
28,5,0.426,0.169,0.600,0.904,3.749,22.117
29,8,0.415,0.002,0.004,0.873,10.040,38.836
