Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,5,0.182,0.018,0.079,0.911,0.016,24.648
1,14,0.395,0.006,0.021,0.920,0.048,57.205
2,9,0.260,0.003,0.020,0.958,0.023,36.812
3,5,0.466,0.004,0.010,0.948,0.008,22.376
4,9,0.430,0.003,0.007,0.977,0.022,36.152
5,8,0.223,0.008,0.031,0.973,0.014,32.677
6,6,0.468,0.001,0.002,0.948,0.013,26.091
7,13,0.264,0.007,0.016,0.943,0.054,53.976
8,7,0.212,0.002,0.009,0.972,0.016,29.030
9,6,0.406,0.000,0.001,0.936,0.019,25.239
10,9,0.316,0.005,0.028,0.930,0.016,36.681
11,11,0.404,0.008,0.034,0.934,0.017,43.817
12,7,0.333,0.001,0.005,0.985,0.013,28.004
13,10,0.231,0.007,0.030,0.951,0.022,39.167
14,18,0.282,0.061,0.813,0.932,0.037,78.661
15,14,0.327,0.003,0.008,0.946,0.025,55.450
16,14,0.377,0.025,0.174,0.943,0.026,54.035
17,14,0.344,0.011,0.053,0.934,0.037,55.609
18,5,0.387,0.001,0.004,0.970,0.008,21.912
19,11,0.166,0.004,0.011,0.976,0.025,46.900
20,8,0.405,0.008,0.041,0.981,0.018,32.063
21,7,0.422,0.001,0.002,0.970,0.013,27.646
22,9,0.380,0.002,0.007,0.956,0.018,35.099
23,19,0.247,0.019,0.071,0.924,0.044,82.053
24,8,0.425,0.001,0.002,0.962,0.015,32.773
25,6,0.313,0.014,0.035,0.945,0.007,24.966
26,8,0.222,0.001,0.005,0.987,0.014,32.360
27,9,0.436,0.005,0.034,0.953,0.017,34.565
28,6,0.131,0.006,0.025,0.967,0.009,25.029
29,8,0.411,0.001,0.003,0.940,0.013,31.238
