Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,1,0.405,0.000,0.000,0.985,0.282,12.662
1,1,0.650,0.000,0.000,0.992,0.113,11.386
2,2,0.489,0.000,0.000,0.990,0.620,14.388
3,2,0.472,0.000,0.000,0.983,0.521,14.029
4,5,0.491,0.004,0.006,0.861,1.596,24.342
5,1,0.471,0.001,0.001,0.992,0.115,11.003
6,2,0.463,0.000,0.000,0.986,0.548,14.325
7,2,0.490,0.007,0.013,0.979,0.465,14.293
8,1,0.558,0.002,0.002,0.973,0.102,11.535
9,3,0.497,0.001,0.003,0.847,1.480,18.611
10,1,0.410,0.000,0.000,0.982,0.237,11.248
11,2,0.441,0.091,0.179,0.892,0.453,14.084
12,1,0.616,0.000,0.000,0.974,0.146,10.922
13,3,0.475,0.001,0.001,0.976,0.830,16.773
14,3,0.423,0.003,0.003,0.853,0.823,17.628
15,2,0.458,0.000,0.001,0.986,0.469,13.805
16,1,0.493,0.000,0.000,0.991,0.100,10.866
17,4,0.453,0.002,0.004,0.966,1.538,20.486
18,3,0.446,0.007,0.018,0.940,0.909,17.043
19,1,0.453,0.000,0.000,0.990,0.130,10.961
20,1,0.520,0.000,0.000,1.000,0.109,11.025
21,1,0.520,0.000,0.000,0.992,0.116,10.896
22,2,0.574,0.001,0.001,0.989,0.449,13.702
23,2,0.484,0.000,0.000,0.987,0.515,13.953
24,2,0.428,0.000,0.000,0.989,0.362,13.855
25,1,0.507,0.000,0.000,0.984,0.212,10.929
26,1,0.381,0.000,0.000,1.000,0.120,10.840
27,1,0.493,0.000,0.000,0.984,0.211,10.792
28,2,0.451,0.000,0.000,0.983,0.486,14.001
29,1,0.645,0.001,0.001,0.984,0.161,10.976
