Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,31,0.344,0.029,0.100,0.908,0.345,184.537
1,22,0.247,0.044,0.142,0.916,0.188,107.535
2,29,0.235,0.027,0.074,0.887,0.207,137.159
3,19,0.172,0.013,0.054,0.950,0.080,89.774
4,11,0.347,0.004,0.033,0.909,0.045,42.640
5,7,0.179,0.009,0.046,0.947,0.021,28.507
6,2,0.422,0.000,0.001,0.957,0.006,12.778
7,10,0.361,0.007,0.042,0.920,0.051,39.660
8,15,0.342,0.005,0.035,0.936,0.118,61.711
9,27,0.287,0.008,0.034,0.901,0.290,128.917
10,8,0.284,0.003,0.013,0.946,0.025,32.374
11,25,0.275,0.023,0.075,0.913,0.142,114.065
12,21,0.335,0.009,0.027,0.923,0.120,92.242
13,27,0.374,0.010,0.052,0.907,0.183,133.096
14,27,0.246,0.038,0.598,0.955,0.134,133.039
15,17,0.346,0.008,0.037,0.970,0.067,72.831
16,8,0.187,0.016,0.066,0.922,0.025,31.061
17,10,0.328,0.012,0.057,0.914,0.047,37.413
18,33,0.373,0.016,0.057,0.893,0.203,165.196
19,9,0.400,0.006,0.036,0.928,0.034,33.070
20,4,0.394,0.001,0.002,0.974,0.010,17.783
21,7,0.395,0.001,0.003,0.966,0.020,26.397
22,15,0.276,0.008,0.042,0.920,0.080,59.296
23,13,0.403,0.004,0.012,0.926,0.054,50.274
24,5,0.501,0.001,0.002,0.955,0.016,21.078
25,17,0.361,0.006,0.018,0.980,0.035,71.996
26,21,0.330,0.019,0.074,0.923,0.108,91.432
27,24,0.340,0.025,0.097,0.936,0.144,109.286
28,21,0.401,0.007,0.024,0.938,0.091,94.434
29,20,0.222,0.012,0.031,0.962,0.077,96.952
