Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,5,0.396,0.004,0.007,0.948,2.576,20.902
1,3,0.500,0.000,0.001,0.963,1.708,14.123
2,7,0.379,0.002,0.003,0.948,3.502,28.107
3,19,0.406,0.016,0.085,0.894,13.791,85.725
4,1,0.318,0.000,0.000,0.961,0.765,7.604
5,18,0.328,0.012,0.038,0.779,15.334,83.254
6,1,0.318,0.000,0.000,0.961,0.732,7.594
7,2,0.368,0.002,0.003,0.936,0.973,10.442
8,28,0.399,0.013,0.041,0.714,34.245,152.290
9,28,0.366,0.028,0.272,0.875,19.542,137.206
10,16,0.457,0.004,0.021,0.906,6.425,63.661
11,7,0.368,0.003,0.007,0.879,6.765,32.432
12,9,0.451,0.025,0.171,0.909,9.682,42.300
13,6,0.430,0.002,0.005,0.908,2.439,23.795
14,20,0.421,0.007,0.022,0.865,22.671,102.119
15,1,0.521,0.000,0.000,0.949,0.698,7.513
16,16,0.402,0.049,0.345,0.957,16.428,75.692
17,23,0.428,0.011,0.039,0.837,13.260,104.969
18,12,0.345,0.011,0.026,0.817,5.438,49.101
19,15,0.418,0.005,0.017,0.870,8.981,63.079
20,13,0.341,0.012,0.067,0.916,10.063,56.960
21,10,0.359,0.005,0.011,0.824,4.080,39.849
22,11,0.420,0.018,0.134,0.716,6.808,44.983
23,1,0.424,0.003,0.003,0.972,0.641,7.303
24,25,0.415,0.018,0.087,0.803,20.962,122.167
25,14,0.482,0.004,0.009,0.959,4.501,51.872
26,12,0.430,0.006,0.015,0.851,4.686,46.030
27,8,0.405,0.002,0.007,0.843,2.967,30.862
28,5,0.433,0.002,0.006,0.851,1.802,19.945
29,11,0.493,0.004,0.016,0.953,4.181,41.978
