Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,8,0.259,0.024,0.040,0.893,12.885,48.283
1,3,0.393,0.001,0.001,0.963,2.301,19.710
2,5,0.426,0.007,0.009,0.909,11.907,42.100
3,9,0.207,0.012,0.025,1.000,8.822,45.727
4,4,0.350,0.002,0.002,0.876,5.409,28.405
5,6,0.350,0.009,0.011,0.773,10.658,37.336
6,4,0.400,0.004,0.005,0.913,5.102,28.942
7,2,0.464,0.001,0.001,0.936,0.822,15.193
8,4,0.387,0.003,0.005,0.883,4.156,25.198
9,4,0.378,0.005,0.006,0.843,8.413,34.745
10,2,0.432,0.001,0.001,0.970,0.585,14.315
11,7,0.434,0.013,0.022,0.829,14.380,46.969
12,6,0.365,0.006,0.011,0.969,4.718,31.983
13,7,0.415,0.004,0.006,0.907,8.359,38.938
14,15,0.295,0.011,0.033,0.960,38.377,111.054
15,1,0.521,0.001,0.001,0.949,0.010,10.375
16,1,0.407,0.000,0.000,0.925,0.010,10.424
17,4,0.400,0.003,0.006,0.936,8.735,34.419
18,2,0.411,0.000,0.000,0.933,0.469,13.661
19,8,0.430,0.002,0.004,0.800,12.162,47.904
20,4,0.466,0.005,0.008,0.974,7.645,27.482
21,3,0.346,0.001,0.001,0.952,4.116,23.472
22,5,0.355,0.004,0.006,0.771,9.464,32.009
23,1,0.471,0.000,0.000,0.972,0.010,10.319
24,3,0.468,0.000,0.000,0.955,3.589,24.914
25,13,0.376,0.007,0.031,0.980,11.164,63.795
26,3,0.478,0.001,0.001,0.951,2.166,18.901
27,5,0.350,0.027,0.113,0.880,7.946,31.390
28,3,0.431,0.001,0.001,0.925,2.215,18.808
29,14,0.285,0.025,0.066,0.970,15.687,74.074
