Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,1,0.376,0.000,0.000,0.996,0.598,11.964
1,9,0.428,0.006,0.039,0.896,5.133,39.378
2,7,0.356,0.016,0.055,0.889,3.474,31.195
3,6,0.424,0.001,0.002,0.993,3.838,28.025
4,3,0.456,0.000,0.000,0.963,1.177,16.788
5,2,0.399,0.001,0.001,0.976,0.832,13.644
6,2,0.467,0.000,0.000,0.957,0.740,13.824
7,2,0.386,0.001,0.001,0.936,0.815,13.868
8,2,0.440,0.000,0.000,0.946,0.884,14.455
9,3,0.364,0.002,0.002,0.941,1.331,17.467
10,4,0.461,0.002,0.007,0.871,1.532,20.404
11,5,0.334,0.001,0.002,0.970,3.124,24.335
12,2,0.507,0.000,0.001,0.970,0.822,13.687
13,2,0.378,0.000,0.000,0.936,0.836,13.880
14,2,0.429,0.000,0.001,0.927,0.885,13.747
15,2,0.472,0.104,0.208,0.843,0.637,13.286
16,2,0.483,0.000,0.000,0.950,0.753,13.461
17,1,0.418,0.001,0.001,0.956,0.313,10.393
18,2,0.440,0.000,0.000,0.933,0.789,13.326
19,4,0.448,0.000,0.001,0.950,1.722,19.626
20,4,0.429,0.001,0.001,0.974,2.137,20.331
21,2,0.393,0.001,0.001,0.903,0.710,13.422
22,5,0.427,0.000,0.000,0.955,2.483,23.316
23,2,0.518,0.000,0.001,0.969,0.591,13.056
24,2,0.499,0.000,0.001,0.954,0.706,13.507
25,1,0.584,0.000,0.000,0.981,0.298,10.176
26,4,0.505,0.007,0.018,0.912,1.541,19.681
27,9,0.372,0.009,0.060,0.902,3.836,36.944
28,1,0.549,0.000,0.000,0.949,0.356,10.223
29,4,0.598,0.000,0.001,0.992,1.521,19.468
