Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,34,0.362,0.027,0.089,0.887,294.986,493.488
1,9,0.366,0.083,0.474,0.939,85.925,131.473
2,4,0.451,0.003,0.004,0.921,28.489,53.797
3,11,0.132,0.004,0.009,0.998,86.317,144.756
4,21,0.337,0.010,0.035,0.891,152.941,248.893
5,2,0.419,0.002,0.003,0.976,12.374,31.623
6,8,0.450,0.002,0.004,0.913,61.479,101.352
7,8,0.330,0.015,0.041,0.898,70.393,110.235
8,20,0.353,0.014,0.166,0.884,148.694,237.745
9,9,0.333,0.003,0.009,0.891,60.051,102.689
10,2,0.452,0.000,0.000,0.970,12.309,31.792
11,14,0.394,0.019,0.067,0.908,116.728,181.577
12,7,0.462,0.001,0.001,0.969,54.301,91.395
13,23,0.351,0.015,0.071,0.885,161.991,270.776
14,18,0.378,0.012,0.033,0.953,133.096,212.375
15,2,0.521,0.001,0.001,0.967,22.083,48.246
16,15,0.180,0.008,0.021,0.877,117.675,185.352
17,3,0.375,0.068,0.204,0.937,25.195,46.086
18,4,0.362,0.013,0.051,0.914,27.815,55.932
19,15,0.401,0.008,0.024,0.851,104.915,170.601
20,19,0.312,0.014,0.031,0.884,138.029,226.230
21,19,0.280,0.018,0.041,0.912,124.827,209.939
22,6,0.393,0.001,0.003,0.863,41.764,70.665
23,10,0.371,0.006,0.014,0.910,75.139,120.602
24,8,0.372,0.040,0.268,0.909,66.771,105.209
25,17,0.538,0.007,0.034,0.973,103.924,183.641
26,16,0.377,0.010,0.025,0.921,119.096,188.372
27,23,0.324,0.015,0.036,0.904,156.506,258.478
28,16,0.396,0.012,0.060,0.910,118.870,188.672
29,18,0.450,0.011,0.043,0.958,128.881,207.905
