Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,9,0.161,5.004,0.045,0.103,1.000,0.000,0.750,0.024,59.343
1,6,0.305,3.419,0.084,0.180,2.000,0.000,0.703,0.012,35.903
2,9,0.336,3.611,0.663,1.652,7.000,0.000,0.743,0.016,67.121
3,6,0.257,3.285,0.059,0.101,1.000,0.000,0.685,0.008,33.686
4,6,0.119,3.470,0.168,0.359,5.000,0.000,0.688,0.011,45.845
5,12,0.123,3.002,0.060,0.084,1.000,0.000,0.666,0.024,68.426
6,9,0.385,2.970,0.204,1.228,3.000,0.000,0.922,0.021,49.717
7,11,0.347,3.018,0.225,1.306,2.000,0.000,0.876,0.026,74.668
8,8,0.417,3.595,0.061,0.101,2.000,0.000,0.748,0.014,46.897
9,6,0.254,3.711,0.047,0.149,1.000,0.000,0.745,0.010,47.272
10,8,0.159,3.359,0.033,0.099,1.000,0.000,0.678,0.024,46.605
11,5,0.417,4.106,0.039,0.072,1.000,0.000,0.801,0.007,31.247
12,8,0.306,3.816,0.073,0.106,3.000,0.000,0.752,0.017,46.789
13,6,0.341,2.929,0.025,0.061,1.000,0.000,0.799,0.011,34.266
14,4,0.387,4.246,0.012,0.018,1.000,0.000,0.882,0.005,27.760
15,7,0.316,3.318,0.481,1.074,4.000,0.000,0.720,0.010,52.024
16,9,0.141,3.026,0.032,0.053,1.000,0.000,0.683,0.012,64.405
17,8,0.422,3.746,0.067,0.123,1.000,1.000,0.926,0.019,46.529
18,6,0.190,3.382,0.088,0.134,3.000,0.000,0.747,0.010,35.808
19,7,0.245,3.535,0.126,0.378,3.000,0.000,0.672,0.012,55.266
20,9,0.318,3.479,0.077,0.135,1.000,0.000,0.746,0.016,53.432
21,9,0.306,3.741,0.062,0.126,3.000,0.000,0.843,0.025,51.274
22,5,0.358,3.484,0.079,0.126,3.000,0.000,0.755,0.006,32.451
23,7,0.324,3.733,0.116,0.294,3.000,0.000,0.752,0.013,52.075
24,6,0.301,3.746,0.298,1.403,2.000,0.000,0.799,0.015,46.865
25,8,0.251,4.560,0.084,0.134,3.000,0.000,0.684,0.012,53.832
26,7,0.287,3.535,0.521,1.497,5.000,0.000,0.753,0.012,50.481
27,7,0.288,3.864,0.534,1.720,4.000,0.000,0.808,0.018,51.851
28,6,0.306,4.196,0.062,0.120,3.000,0.000,0.687,0.008,47.862
29,11,0.272,3.309,0.068,0.119,2.000,0.000,0.657,0.016,59.980
