Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,21,0.428,2.393,0.034,0.128,2.000,1.000,0.852,7.421,164.102
1,18,0.402,3.714,0.038,0.091,1.000,0.000,0.839,5.760,149.663
2,10,0.414,2.968,0.028,0.093,1.000,0.000,0.872,3.386,76.583
3,9,0.445,3.480,0.067,0.143,5.000,0.000,0.789,2.744,73.612
4,8,0.410,1.886,0.017,0.107,1.000,0.000,0.903,2.787,68.519
5,12,0.425,2.909,0.055,0.131,1.000,2.000,0.836,3.940,116.934
6,16,0.405,2.894,0.052,0.143,4.000,0.000,0.791,4.868,123.614
7,13,0.401,2.995,0.032,0.106,1.000,1.000,0.834,3.392,101.353
8,14,0.341,2.293,0.059,0.111,3.000,0.000,0.688,3.584,105.770
9,12,0.330,2.611,0.035,0.100,2.000,0.000,0.810,2.194,79.978
10,18,0.375,2.281,0.058,0.130,1.000,1.000,0.717,3.547,145.832
11,11,0.439,3.525,0.030,0.082,1.000,0.000,0.860,2.509,71.459
12,12,0.395,3.314,0.025,0.079,1.000,0.000,0.934,2.544,77.567
13,15,0.347,2.728,0.030,0.111,1.000,0.000,0.880,3.248,97.831
14,9,0.411,2.877,0.067,0.291,2.000,0.000,0.858,2.082,73.365
15,23,0.371,2.878,0.050,0.104,0.000,1.000,0.816,5.701,195.188
16,8,0.412,2.117,0.050,0.127,2.000,0.000,0.839,1.495,63.341
17,19,0.413,2.462,0.030,0.091,2.000,1.000,0.896,4.689,134.148
18,9,0.160,3.678,0.043,0.123,1.000,0.000,0.669,2.434,71.002
19,15,0.268,3.598,0.017,0.044,0.000,0.000,0.635,3.346,103.140
20,12,0.275,2.721,0.052,0.136,3.000,0.000,0.801,2.743,81.120
21,13,0.448,2.620,0.068,0.292,3.000,1.000,0.920,2.821,98.384
22,7,0.449,2.436,0.036,0.098,1.000,0.000,0.794,1.409,46.210
23,14,0.400,3.684,0.041,0.089,2.000,0.000,0.861,3.224,100.890
24,20,0.393,2.459,0.047,0.109,5.000,0.000,0.788,4.399,139.697
25,14,0.385,3.098,0.050,0.123,1.000,1.000,0.840,2.655,108.319
26,12,0.351,2.702,0.040,0.087,2.000,0.000,0.784,2.527,79.720
27,19,0.394,3.423,0.047,0.112,3.000,0.000,0.899,3.259,137.501
28,14,0.396,3.016,0.045,0.099,2.000,0.000,0.770,2.805,93.928
29,10,0.388,1.692,0.045,0.077,1.000,0.000,0.716,2.057,61.831
