Method,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,Packing Time
DBL,17.3,0.273,3.108,0.044,0.118,0.037,0.828,0.74,7.095
TAPNet++,16.2,0.265,3.128,0.042,0.103,0.023,0.806,0.364,9.79
CDRL,15.7,0.277,2.982,0.045,0.112,0.042,0.772,0.347,9.625
OnlineBPH,15.3,0.213,2.904,0.044,0.124,0.017,0.742,0.002,6.332
PCT,13.6,0.382,2.848,0.043,0.135,0.022,0.816,0.245,7.471
HeightmapMin,12.6,0.319,3.149,0.073,0.212,0.024,0.848,0.955,7.533
AR2L,12.0,0.328,2.23,0.079,0.192,0.044,0.797,0.925,9.36
LSAH,10.8,0.289,3.159,0.082,0.218,0.025,0.776,0.002,6.915
PackE,8.9,0.21,1.996,0.051,0.162,0.06,0.704,0.159,9.61
BR,7.5,0.288,3.606,0.15,0.324,0.004,0.756,0.002,6.532
SDFPack,7.0,0.301,3.747,0.076,0.325,0.005,0.758,14.071,22.248
RANDOM,6.8,0.205,2.926,0.079,0.255,0.01,0.677,0.796,7.482
MACS,6.6,0.282,3.826,0.057,0.302,0.005,0.757,4.642,12.616
