Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,1,0.315,2.316,0.000,0.000,1.000,0.000,0.985,0.001,12.124
1,6,0.446,2.378,0.383,1.084,4.000,0.000,0.949,0.019,60.112
2,3,0.412,2.192,0.434,0.693,4.000,0.000,0.971,0.008,20.558
3,2,0.411,2.179,0.121,0.202,1.000,0.000,0.946,0.003,27.045
4,2,0.426,2.167,0.205,0.312,2.000,0.000,0.946,0.004,32.601
5,2,0.592,2.117,0.548,0.768,2.000,0.000,0.975,0.003,26.903
6,2,0.495,2.239,0.325,0.649,2.000,0.000,0.938,0.006,26.921
7,2,0.397,2.140,0.210,0.362,1.000,0.000,0.940,0.003,26.921
8,3,0.362,2.179,0.839,1.316,3.000,0.000,0.965,0.007,32.187
9,2,0.453,2.220,0.684,1.042,2.000,0.000,0.918,0.003,26.884
10,2,0.499,2.204,0.152,0.203,2.000,0.000,0.902,0.005,27.208
11,2,0.455,2.138,0.099,0.155,1.000,0.000,0.975,0.006,23.526
12,3,0.384,2.139,0.705,1.140,3.000,0.000,0.838,0.005,31.479
13,2,0.425,2.229,0.104,0.191,1.000,0.000,0.976,0.003,26.587
14,3,0.472,2.174,0.137,0.326,1.000,0.000,0.934,0.005,31.889
15,2,0.477,2.181,0.068,0.122,1.000,0.000,0.979,0.003,22.639
16,3,0.437,2.143,0.040,0.076,2.000,0.000,0.987,0.006,32.184
17,2,0.490,2.210,0.035,0.066,1.000,0.000,0.955,0.003,20.053
18,2,0.558,2.180,0.560,1.004,3.000,0.000,0.954,0.006,27.104
19,2,0.483,2.187,0.353,0.587,3.000,0.000,0.987,0.003,27.261
20,4,0.456,2.516,0.008,0.022,1.000,0.000,0.977,0.009,50.101
21,2,0.469,2.127,0.520,0.802,3.000,0.000,0.939,0.003,26.991
22,2,0.472,2.190,0.581,0.781,2.000,0.000,0.948,0.003,27.508
23,2,0.482,2.179,0.110,0.170,1.000,0.000,0.967,0.004,26.995
24,3,0.503,2.185,0.287,0.822,1.000,0.000,0.912,0.009,31.754
25,2,0.422,2.162,0.593,0.843,2.000,0.000,0.897,0.003,27.164
26,2,0.501,2.159,0.276,0.546,1.000,0.000,0.994,0.006,27.147
27,3,0.461,2.150,0.098,0.121,3.000,0.000,0.820,0.004,31.414
28,2,0.422,5.490,0.088,0.168,1.000,0.000,0.983,0.003,34.185
29,2,0.476,2.178,0.150,0.247,1.000,0.000,0.957,0.003,26.586
