Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,4,0.505,2.062,0.000,0.001,1.000,0.000,0.988,0.832,22.620
1,7,0.445,1.891,0.001,0.002,1.000,0.000,0.966,1.840,35.321
2,9,0.415,2.262,0.017,0.042,2.000,0.000,0.971,2.669,48.826
3,3,0.464,3.129,0.000,0.001,1.000,0.000,0.982,0.409,22.368
4,12,0.372,1.936,0.018,0.076,2.000,0.000,0.968,3.310,61.085
5,6,0.473,2.196,0.003,0.014,1.000,0.000,0.980,1.369,31.165
6,8,0.363,2.035,0.166,0.730,3.000,1.000,0.904,1.799,53.101
7,5,0.537,2.018,0.034,0.132,2.000,0.000,0.980,1.203,41.053
8,1,0.413,2.136,0.195,0.195,2.000,0.000,0.973,0.063,22.967
9,16,0.343,2.455,0.017,0.075,2.000,2.000,0.919,5.182,109.198
10,5,0.430,2.309,0.006,0.027,1.000,0.000,0.962,0.851,27.548
11,8,0.398,2.304,0.339,1.990,2.000,0.000,0.932,1.934,58.169
12,7,0.473,1.958,0.000,0.001,1.000,0.000,0.986,1.908,34.197
13,6,0.425,2.019,0.171,0.923,2.000,0.000,0.958,1.112,34.824
14,11,0.461,1.975,0.002,0.006,1.000,1.000,0.976,3.348,71.196
15,12,0.427,2.092,0.006,0.027,1.000,1.000,0.957,3.308,71.054
16,6,0.589,2.231,0.015,0.080,1.000,0.000,0.991,1.653,38.248
17,14,0.351,2.338,0.009,0.030,1.000,0.000,0.950,4.778,77.338
18,3,0.492,2.077,0.154,0.435,2.000,1.000,0.983,0.535,36.063
19,8,0.514,1.990,0.026,0.130,2.000,2.000,0.987,2.437,67.351
20,5,0.474,3.768,0.032,0.087,2.000,0.000,0.992,1.056,50.504
21,2,0.443,2.144,0.130,0.260,2.000,0.000,0.989,0.223,26.995
22,6,0.440,2.051,0.000,0.000,1.000,1.000,0.993,1.582,34.889
23,4,0.486,2.105,0.001,0.002,1.000,0.000,0.987,0.864,22.926
24,9,0.473,2.014,0.018,0.072,2.000,0.000,0.971,2.185,62.639
25,5,0.457,2.058,0.105,0.280,4.000,0.000,0.972,1.051,40.999
26,3,0.499,2.120,0.161,0.249,3.000,0.000,0.972,0.407,31.938
27,8,0.397,2.091,0.006,0.045,1.000,0.000,0.974,1.593,38.368
28,6,0.478,1.987,0.038,0.101,3.000,0.000,0.977,1.341,46.687
29,4,0.436,2.645,0.000,0.000,1.000,0.000,0.983,0.829,23.372
