Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,1,0.327,2.327,0.000,0.000,1.000,0.000,0.985,4.174,21.592
1,5,0.502,2.154,0.701,1.296,5.000,0.000,0.960,32.005,83.207
2,4,0.378,2.078,0.005,0.015,1.000,0.000,0.985,22.661,54.313
3,5,0.336,2.064,0.807,1.978,4.000,1.000,0.948,43.011,100.267
4,3,0.464,2.045,0.378,0.711,3.000,1.000,0.946,23.034,75.303
5,3,0.518,2.173,0.000,0.001,1.000,0.000,0.986,17.486,42.782
6,6,0.460,2.085,0.386,1.367,6.000,2.000,0.919,37.103,117.412
7,4,0.189,2.063,0.673,1.100,4.000,1.000,0.931,26.763,81.533
8,8,0.396,1.997,0.120,0.579,5.000,1.000,0.897,47.607,125.396
9,7,0.302,2.113,0.555,1.787,4.000,2.000,0.932,48.772,131.671
10,3,0.332,2.135,0.323,0.696,4.000,1.000,0.905,24.769,77.691
11,4,0.491,2.063,0.207,0.468,2.000,0.000,0.973,27.198,72.715
12,3,0.427,2.026,0.547,1.287,2.000,0.000,0.838,25.265,62.655
13,5,0.421,2.100,0.856,1.489,4.000,1.000,0.929,34.723,97.647
14,4,0.553,2.155,0.613,1.257,5.000,0.000,0.972,28.816,70.837
15,4,0.497,2.077,0.517,1.108,3.000,0.000,0.965,29.004,74.474
16,10,0.419,2.110,0.007,0.016,1.000,4.000,0.924,76.956,237.326
17,6,0.486,2.121,0.003,0.008,1.000,0.000,0.911,34.335,72.730
18,2,0.586,2.068,0.244,0.381,3.000,0.000,0.982,17.964,51.662
19,2,0.542,2.216,0.028,0.050,1.000,0.000,0.987,12.849,45.802
20,3,0.447,2.020,0.083,0.161,2.000,0.000,0.998,28.166,64.925
21,2,0.485,2.160,0.000,0.001,1.000,0.000,0.989,16.260,40.374
22,4,0.228,2.118,0.044,0.107,1.000,2.000,0.949,26.914,93.368
23,4,0.422,2.035,0.049,0.089,2.000,1.000,0.957,27.818,85.492
24,4,0.344,2.162,0.521,1.276,3.000,1.000,0.919,24.466,83.744
25,6,0.389,2.132,0.657,1.681,5.000,0.000,0.876,48.777,109.106
26,3,0.523,2.026,0.050,0.149,2.000,1.000,0.994,24.815,64.307
27,2,0.530,2.204,0.033,0.058,1.000,0.000,0.849,14.379,46.903
28,4,0.348,2.726,0.883,1.547,3.000,0.000,0.974,24.565,68.416
29,3,0.471,2.134,0.357,0.725,2.000,0.000,0.958,22.382,59.940
