Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,49,0.376,2.211,0.021,0.098,1.000,1.000,0.931,67.124,660.457
1,37,0.399,2.739,0.019,0.172,2.000,2.000,0.958,51.654,457.697
2,28,0.367,2.593,0.005,0.025,1.000,1.000,0.962,41.609,297.061
3,36,0.395,2.513,0.007,0.040,1.000,1.000,0.951,56.406,441.416
4,59,0.339,2.078,0.018,0.080,1.000,7.000,0.926,89.665,947.871
5,27,0.405,2.497,0.003,0.047,1.000,1.000,0.967,42.387,264.606
6,40,0.322,2.399,0.012,0.067,1.000,0.000,0.939,63.139,515.664
7,30,0.430,2.310,0.003,0.010,1.000,1.000,0.955,47.199,333.536
8,44,0.391,2.258,0.010,0.114,1.000,3.000,0.934,66.105,601.246
9,55,0.387,2.223,0.015,0.080,1.000,1.000,0.932,89.962,833.987
10,11,0.443,2.121,0.001,0.002,1.000,0.000,0.972,18.313,94.402
11,50,0.367,2.122,0.031,0.103,1.000,5.000,0.914,81.862,814.887
12,42,0.409,2.339,0.008,0.032,1.000,0.000,0.966,50.179,475.185
13,61,0.364,2.079,0.012,0.065,1.000,8.000,0.943,76.364,908.371
14,40,0.391,2.576,0.014,0.043,1.000,0.000,0.947,32.069,467.425
15,9,0.445,2.660,0.097,0.362,4.000,0.000,0.982,7.237,67.774
16,49,0.361,2.273,0.019,0.079,1.000,1.000,0.962,38.143,553.289
17,28,0.402,2.843,0.004,0.031,1.000,0.000,0.953,22.550,241.300
18,42,0.334,2.214,0.017,0.075,1.000,0.000,0.949,32.728,425.535
19,41,0.306,2.355,0.068,0.753,4.000,2.000,0.900,24.262,407.057
20,21,0.406,2.770,0.013,0.152,1.000,0.000,0.974,11.682,151.173
21,45,0.400,2.166,0.004,0.066,1.000,1.000,0.959,24.727,365.478
22,36,0.369,2.287,0.005,0.036,1.000,1.000,0.938,20.769,321.151
23,53,0.313,2.376,0.028,0.084,0.000,2.000,0.921,17.442,493.008
24,25,0.465,2.184,0.022,0.488,2.000,0.000,0.940,3.824,139.270
25,10,0.523,2.173,0.001,0.002,1.000,0.000,0.980,0.930,46.380
26,40,0.410,2.325,0.006,0.035,1.000,0.000,0.938,6.212,301.920
27,45,0.382,2.556,0.008,0.029,1.000,0.000,0.952,6.426,352.160
28,51,0.311,2.373,0.021,0.051,0.000,2.000,0.928,8.032,492.382
29,38,0.400,2.392,0.013,0.085,2.000,1.000,0.962,5.719,301.503
