Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,57,0.343,1.990,0.043,0.106,1.000,7.000,0.924,0.630,845.029
1,4,0.345,2.273,0.354,1.160,2.000,0.000,0.954,0.008,45.240
2,37,0.282,1.962,0.016,0.058,1.000,6.000,0.922,0.257,465.788
3,28,0.420,2.441,0.012,0.085,1.000,0.000,0.969,0.094,296.763
4,34,0.416,2.641,0.005,0.045,1.000,2.000,0.944,0.255,325.248
5,24,0.412,2.125,0.005,0.064,1.000,2.000,0.939,0.200,225.904
6,35,0.425,2.429,0.004,0.037,1.000,3.000,0.926,0.327,387.995
7,30,0.419,2.292,0.004,0.010,1.000,0.000,0.945,0.266,254.809
8,38,0.334,2.148,0.010,0.039,1.000,3.000,0.925,0.441,394.373
9,27,0.459,2.582,0.001,0.008,1.000,1.000,0.953,0.214,241.251
10,3,0.385,3.228,0.032,0.078,1.000,0.000,0.931,0.004,25.046
11,28,0.391,2.142,0.004,0.015,1.000,3.000,0.942,0.256,268.946
12,37,0.417,2.186,0.009,0.075,1.000,1.000,0.957,0.354,377.722
13,56,0.366,2.463,0.021,0.062,1.000,2.000,0.933,0.862,695.333
14,7,0.408,2.042,0.074,0.218,2.000,1.000,0.966,0.014,68.950
15,9,0.334,2.574,0.025,0.124,1.000,0.000,0.975,0.024,82.221
16,6,0.438,2.045,0.114,0.405,2.000,0.000,0.956,0.017,48.681
17,14,0.357,1.961,0.024,0.093,2.000,4.000,0.958,0.075,159.063
18,5,0.271,2.275,0.027,0.048,1.000,2.000,0.898,0.009,63.134
19,44,0.346,2.150,0.025,0.078,0.000,4.000,0.912,0.352,449.487
20,19,0.413,2.262,0.001,0.002,1.000,0.000,0.974,0.126,110.936
21,10,0.325,2.121,0.061,0.217,1.000,2.000,0.957,0.036,116.010
22,19,0.393,2.714,0.002,0.009,1.000,1.000,0.956,0.128,173.160
23,33,0.433,2.537,0.004,0.041,1.000,3.000,0.945,0.312,301.626
24,13,0.459,3.459,0.001,0.002,1.000,0.000,0.955,0.062,83.977
25,16,0.483,1.987,0.005,0.013,1.000,0.000,0.971,0.026,103.076
26,43,0.331,2.592,0.022,0.317,2.000,1.000,0.919,0.240,418.864
27,26,0.363,2.249,0.001,0.011,1.000,2.000,0.951,0.172,194.786
28,21,0.429,2.611,0.002,0.011,1.000,0.000,0.943,0.088,131.280
29,41,0.396,2.154,0.015,0.052,1.000,3.000,0.950,0.236,463.755
