Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,42,0.354,2.208,0.010,0.041,1.000,2.000,0.927,17.614,499.889
1,42,0.361,2.024,0.019,0.094,1.000,8.000,0.927,22.781,568.343
2,10,0.217,2.157,0.106,0.440,3.000,0.000,0.948,6.158,80.998
3,17,0.438,2.089,0.064,0.674,3.000,3.000,0.974,8.657,165.138
4,31,0.407,2.110,0.004,0.023,1.000,2.000,0.946,17.915,324.264
5,31,0.318,2.177,0.013,0.110,1.000,1.000,0.932,17.937,324.351
6,35,0.411,2.149,0.005,0.020,1.000,1.000,0.931,19.094,373.382
7,41,0.401,2.111,0.011,0.058,1.000,2.000,0.937,22.486,473.580
8,28,0.395,2.388,0.006,0.053,1.000,2.000,0.944,15.333,299.878
9,31,0.382,2.468,0.006,0.092,1.000,0.000,0.951,17.779,303.331
10,8,0.467,3.112,0.000,0.001,1.000,0.000,0.973,4.719,63.758
11,10,0.436,2.113,0.181,0.890,4.000,1.000,0.961,5.682,90.174
12,12,0.418,1.992,0.136,0.726,4.000,4.000,0.959,6.584,152.853
13,61,0.341,2.073,0.023,0.062,1.000,5.000,0.925,33.489,1028.952
14,31,0.371,2.321,0.005,0.030,1.000,2.000,0.964,17.212,312.825
15,8,0.470,2.390,0.104,0.474,2.000,0.000,0.979,4.804,61.711
16,51,0.352,2.136,0.015,0.092,1.000,5.000,0.946,31.058,820.148
17,34,0.408,2.479,0.004,0.028,1.000,3.000,0.943,18.808,365.464
18,30,0.404,2.407,0.003,0.014,1.000,1.000,0.933,17.172,309.483
19,22,0.433,2.053,0.007,0.061,1.000,1.000,0.929,14.101,213.520
20,20,0.388,2.388,0.024,0.440,1.000,3.000,0.973,12.286,203.312
21,63,0.318,2.195,0.018,0.078,1.000,6.000,0.926,37.982,1033.076
22,36,0.376,2.164,0.010,0.047,1.000,3.000,0.944,20.937,425.124
23,25,0.397,2.394,0.009,0.089,1.000,1.000,0.958,14.489,251.701
24,33,0.388,1.984,0.014,0.062,1.000,4.000,0.933,16.491,387.520
25,12,0.502,2.074,0.191,0.950,4.000,1.000,0.966,5.564,106.108
26,26,0.422,2.106,0.007,0.042,1.000,0.000,0.949,12.239,219.839
27,45,0.399,2.426,0.010,0.061,1.000,0.000,0.944,20.517,528.210
28,31,0.361,2.013,0.010,0.033,1.000,6.000,0.938,14.158,409.265
29,9,0.497,2.157,0.040,0.352,1.000,0.000,0.992,4.289,56.628
