Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,28,0.433,2.133,0.007,0.056,1.000,1.000,0.940,21.811,288.689
1,4,0.407,2.712,0.095,0.376,2.000,0.000,0.965,2.304,47.159
2,22,0.404,2.202,0.004,0.020,1.000,0.000,0.958,17.863,188.097
3,24,0.450,2.713,0.003,0.027,0.000,2.000,0.985,17.648,234.194
4,46,0.440,2.108,0.007,0.025,1.000,5.000,0.931,36.921,611.723
5,17,0.345,2.661,0.009,0.072,1.000,1.000,0.953,11.880,151.591
6,22,0.462,2.630,0.000,0.001,1.000,0.000,0.951,16.270,189.967
7,6,0.422,2.415,0.054,0.199,2.000,1.000,0.918,3.000,61.565
8,12,0.393,2.377,0.014,0.063,1.000,2.000,0.932,5.202,96.975
9,2,0.425,2.493,0.018,0.029,1.000,0.000,0.837,1.810,43.324
10,5,0.244,2.394,0.029,0.046,1.000,1.000,0.928,2.588,55.514
11,26,0.412,2.052,0.006,0.024,0.000,5.000,0.942,23.542,292.804
12,30,0.486,2.299,0.002,0.012,1.000,0.000,0.969,28.289,304.346
13,30,0.426,2.309,0.005,0.034,1.000,1.000,0.947,31.849,339.310
14,41,0.383,2.097,0.022,0.104,1.000,1.000,0.951,37.942,538.015
15,3,0.292,2.364,0.128,0.353,1.000,1.000,0.974,1.861,55.097
16,1,0.476,2.499,0.000,0.000,1.000,0.000,0.925,1.148,20.510
17,47,0.323,2.458,0.017,0.062,1.000,4.000,0.922,38.674,684.518
18,5,0.431,2.469,0.194,0.485,3.000,0.000,0.920,2.880,57.419
19,11,0.349,2.490,0.003,0.010,0.000,0.000,0.914,4.926,80.720
20,35,0.375,2.771,0.018,0.339,1.000,0.000,0.958,26.578,390.264
21,36,0.387,2.255,0.011,0.064,1.000,3.000,0.950,32.037,406.626
22,14,0.376,2.685,0.016,0.082,1.000,0.000,0.865,6.709,121.928
23,1,0.383,2.381,0.000,0.000,1.000,0.000,0.972,0.954,21.255
24,13,0.465,2.779,0.001,0.007,1.000,0.000,0.955,5.067,89.794
25,2,0.245,2.338,0.118,0.234,2.000,1.000,0.981,1.086,43.176
26,20,0.476,2.961,0.000,0.002,1.000,0.000,0.962,12.070,133.771
27,23,0.352,2.638,0.004,0.026,0.000,0.000,0.939,15.087,181.538
28,34,0.394,1.868,0.013,0.048,0.000,5.000,0.906,23.908,371.887
29,30,0.513,2.310,0.008,0.072,1.000,2.000,0.984,22.539,277.001
