Method,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,Packing Time
AR2L,38.1,0.387,2.367,0.017,0.032,0.036,0.948,0.967,11.185
DBL,31.8,0.416,2.23,0.011,0.04,0.057,0.952,0.684,7.697
PCT,29.2,0.394,2.229,0.035,0.05,0.077,0.948,0.547,11.946
LSAH,25.5,0.386,2.355,0.031,0.045,0.069,0.945,0.008,10.234
TAPNet++,19.7,0.399,2.429,0.027,0.051,0.061,0.941,0.77,10.811
PackE,15.6,0.444,2.245,0.291,0.128,0.203,0.965,0.127,13.985
HeightmapMin,12.2,0.393,2.295,0.286,0.193,0.305,0.964,1.532,16.794
BR,10.4,0.386,2.54,0.093,0.186,0.16,0.942,0.007,9.137
OnlineBPH,8.9,0.405,2.593,0.011,0.12,0.041,0.933,0.002,8.147
CDRL,8.1,0.417,2.439,0.093,0.24,0.045,0.886,0.359,9.327
SDFPack,5.7,0.388,2.392,0.186,0.435,0.118,0.933,8.105,18.55
RANDOM,3.7,0.438,2.254,0.033,0.309,0.0,0.925,0.573,7.157
MACS,3.7,0.411,2.593,0.232,0.554,0.027,0.917,1.835,10.495
