Method,Feasible Num,Static Stability,Offset Mean,Offset Max,Space Utilization,Planning Time,All time
left_bottom,19,0.271943661,0.023463094,0.063022497,0.250433811,0.14583087,62.9809
heightmap_min,10,0.238118579,0.054856011,0.144264911,0.14130816,0.071263075,28.5519
LSAH,32,0.223347431,0.029488443,0.067792058,0.39885395,0.046927929,126.2891
MACS,5,0.174371146,0.00871665,0.018784946,0.076755208,0.019277573,12.7509
RANDOM,6,0.153779739,0.011083619,0.027415122,0.085034433,0.041100025,15.4209
OnlineBPH,15,0.217622121,0.024672815,0.056955926,0.197215278,0.015324116,47.009
DBL,16,0.296820975,0.012877232,0.067793132,0.216465278,0.119567633,51.2669
BR,16,0.221727323,0.026668429,0.061701997,0.216465278,0.04033494,44.6429
pct,19,0.279389156,0.014579652,0.054486371,0.250433811,0.098968267,61.5273
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
