Method,Feasible Num,Static Stability,Offset Mean,Offset Max,Space Utilization,Planning Time,All time
left_bottom,20,0.373730347,0.000871653,0.00810159,0.381271448,0.336869478,54.6935
heightmap_min,24,0.342234198,0.005027798,0.025859705,0.589012093,0.403398275,72.7201
LSAH,20,0.385907367,0.001007134,0.010095592,0.381271448,0.067420483,54.9833
MACS,7,0.332925155,0.001618272,0.002631886,0.089044461,0.033384085,17.9363
RANDOM,4,0.269291407,0.0039962,0.014818621,0.067430444,0.049206495,10.013
OnlineBPH,8,0.3329027,0.001717214,0.003148579,0.099070503,0.010775328,20.6099
DBL,15,0.393644069,5.20E-05,0.000251243,0.195453712,0.218059778,39.7668
BR,8,0.380401491,0.000526654,0.002311184,0.099070503,0.015935421,20.2063
pct,25,0.349388815,0.023764543,0.330216876,0.641237744,0.100234985,88.8218
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
