Method,Feasible Num,Static Stability,Offset Mean,Offset Max,Space Utilization,Planning Time,All time
left_bottom,33,0.360327802,0.001001929,0.012287689,0.591264363,0.978984356,103.8744
heightmap_min,41,0.349601439,0.006330321,0.034205454,0.77948948,1.145718813,154.5817
LSAH,25,0.408537198,0.000450939,0.003983964,0.435383872,0.083117008,71.3246
MACS,13,0.384694973,0.002025272,0.005887806,0.235500663,0.052158356,36.0217
RANDOM,3,0.286272986,0.004823987,0.014176334,0.056059353,0.036760092,8.6536
OnlineBPH,18,0.332736355,0.006646373,0.050021889,0.312144159,0.038419962,46.6519
DBL,35,0.367722295,0.002963743,0.021997784,0.635747743,1.013391018,116.2942
BR,28,0.385688457,0.001772201,0.010520625,0.476438088,5.198503494,95.1105
pct,44,0.378842964,0.01294753,0.080627628,0.86162573,0.209757328,175.6312
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
