Data,Feasible Num,Plain Occupancy,Planning Time,All time
0,35,0.800,13.610,144.137
1,31,0.824,14.424,128.158
2,30,0.792,12.668,126.194
3,27,0.697,10.719,113.828
4,29,0.724,11.531,122.663
5,29,0.745,9.960,117.055
6,25,0.860,10.706,104.677
7,36,0.827,17.811,149.052
8,25,0.724,9.285,105.925
9,31,0.733,12.755,126.355
10,33,0.750,14.890,142.271
11,31,0.785,14.260,127.702
12,26,0.796,10.219,108.312
13,32,0.747,13.376,136.794
14,27,0.809,12.154,114.887
15,26,0.749,8.571,104.145
16,27,0.666,10.463,111.210
17,33,0.831,13.581,133.630
18,29,0.734,10.938,126.250
19,29,0.755,10.261,115.966
20,31,0.804,11.388,124.123
21,26,0.854,9.910,107.814
22,19,0.749,6.149,83.201
23,34,0.807,14.151,139.734
24,34,0.758,14.894,141.734
25,32,0.714,11.427,129.195
26,31,0.782,10.455,124.763
27,33,0.837,15.113,136.643
28,29,0.780,11.095,120.761
29,30,0.632,11.396,114.383
