Data,Feasible Num,Plain Occupancy,Planning Time,All time
0,28,0.816,15.374,98.657
1,19,0.818,11.589,71.955
2,22,0.765,17.506,96.021
3,26,0.695,21.259,117.485
4,18,0.805,14.937,90.555
5,16,0.742,11.282,81.153
6,18,0.818,13.988,92.576
7,18,0.785,14.848,89.358
8,18,0.728,15.031,87.535
9,30,0.717,24.521,136.206
10,18,0.808,15.293,95.775
11,21,0.834,20.891,102.513
12,16,0.759,10.081,75.473
13,21,0.807,17.572,98.961
14,18,0.857,15.802,88.023
15,20,0.858,15.571,95.144
16,21,0.844,17.128,102.069
17,20,0.831,18.336,100.026
18,26,0.778,19.813,116.886
19,19,0.671,17.050,95.328
20,14,0.806,8.682,68.956
21,19,0.832,15.446,91.589
22,16,0.819,12.732,80.172
23,22,0.786,18.474,106.424
24,27,0.807,21.525,123.199
25,17,0.822,14.628,88.345
26,24,0.797,18.826,111.866
27,22,0.883,20.236,106.482
28,20,0.719,16.430,95.672
29,22,0.593,17.354,109.674
