Data,Feasible Num,Space Utilization,Planning Time,All time
0,67,0.5799,31.8527,194.1447
1,61,0.5325,27.5386,175.3870
2,73,0.5859,35.2801,212.3307
3,59,0.5239,28.0219,171.3377
4,70,0.5653,34.8343,203.9839
5,66,0.5403,33.0352,192.6788
6,58,0.5088,24.7007,165.3745
7,65,0.5391,30.7910,187.6847
8,64,0.5671,32.6646,187.8475
9,71,0.5809,33.6183,205.0669
10,68,0.5645,31.3852,195.6837
11,64,0.5483,28.4044,183.2019
12,60,0.4994,24.5343,169.3958
13,72,0.5874,35.0204,209.1432
14,62,0.5578,25.6578,175.6425
15,66,0.5474,32.4668,191.7921
16,59,0.4826,26.6424,169.8310
17,66,0.5887,25.7504,182.5641
18,67,0.5727,26.1190,186.0299
19,68,0.5980,30.7898,192.6948
20,70,0.5944,28.6867,195.2311
21,71,0.5806,23.0459,186.2803
22,63,0.5634,26.0904,176.9335
23,64,0.5189,28.1854,181.0622
24,66,0.5901,27.7237,184.7294
25,70,0.5825,32.1868,199.4156
26,65,0.5307,27.3519,182.4485
27,70,0.5866,29.3832,196.0103
28,65,0.5414,29.0474,184.4614
29,65,0.5341,27.9694,183.3465
