Data,Feasible Num,Space Utilization,Plain Occupancy,Planning Time,All time
0,26,0.407,0.646,0.044,78.972
1,25,0.427,0.600,0.038,75.914
2,27,0.503,0.803,0.037,91.176
3,26,0.426,0.667,0.043,97.645
4,22,0.368,0.549,0.034,86.931
5,25,0.446,0.669,0.050,96.519
6,21,0.405,0.814,0.032,83.796
7,23,0.383,0.640,0.045,88.747
8,24,0.444,0.704,0.040,90.190
9,29,0.485,0.664,0.049,109.985
10,23,0.406,0.633,0.043,88.376
11,25,0.414,0.665,0.045,95.120
12,18,0.344,0.717,0.031,72.922
13,30,0.483,0.653,0.066,108.103
14,29,0.517,0.764,0.051,109.781
15,23,0.459,0.656,0.033,86.821
16,22,0.400,0.652,0.038,83.272
17,25,0.423,0.715,0.038,95.992
18,22,0.383,0.628,0.036,87.775
19,24,0.440,0.717,0.047,91.207
20,21,0.423,0.666,0.027,89.320
21,24,0.438,0.804,0.046,88.665
22,19,0.385,0.595,0.027,75.541
23,26,0.449,0.788,0.057,96.360
24,26,0.369,0.573,0.058,103.030
25,23,0.380,0.635,0.035,90.361
26,26,0.469,0.654,0.038,98.658
27,31,0.521,0.791,0.071,113.717
28,25,0.436,0.595,0.033,98.256
29,25,0.412,0.626,0.035,95.386
