Data,Feasible Num,Space Utilization,Planning Time,All time
0,11,0.4400,6.0570,38.5061
1,12,0.5017,6.7297,41.5586
2,11,0.5028,6.1106,38.4017
3,13,0.6137,7.3112,44.6845
4,12,0.5570,6.4008,41.2202
5,11,0.4885,6.0739,38.4206
6,9,0.4574,4.2351,32.0150
7,16,0.5785,10.1319,54.4054
8,14,0.4764,9.0271,48.7290
9,9,0.3854,4.5085,32.3634
10,12,0.5382,6.6737,41.6366
11,13,0.7201,6.4975,43.9108
12,9,0.4207,4.7673,32.6142
13,15,0.5429,9.1497,51.0126
14,10,0.4141,5.4356,35.4412
15,12,0.5597,6.4334,41.0918
16,12,0.6514,6.4010,41.3622
17,15,0.4801,8.8099,49.7039
18,14,0.6148,7.3611,45.7955
19,14,0.4972,8.0143,46.8177
20,11,0.5515,5.5489,37.0129
21,10,0.5291,3.3298,30.5832
22,16,0.5680,9.5777,53.2894
23,12,0.5406,6.7198,41.1671
24,12,0.5618,6.0573,39.8012
25,7,0.3907,2.7041,25.1377
26,10,0.4725,5.1184,34.5240
27,11,0.4826,5.8991,37.4848
28,12,0.5380,6.5177,40.7304
29,11,0.5209,5.2858,37.1597
