Data,Feasible Num,Space Utilization,Plain Occupancy,Planning Time,All time
0,28,0.485,0.870,7.722,106.606
1,46,0.560,0.859,12.280,171.687
2,54,0.476,0.797,13.527,199.539
3,40,0.451,0.776,10.771,152.383
4,46,0.449,0.800,12.039,170.649
5,45,0.477,0.866,11.328,163.738
6,45,0.434,0.896,11.523,169.374
7,27,0.396,0.858,7.823,106.507
8,44,0.422,0.871,12.088,163.362
9,42,0.451,0.846,11.643,160.489
10,37,0.437,0.789,9.393,137.210
11,19,0.194,0.863,5.234,75.158
12,41,0.493,0.845,12.028,157.917
13,48,0.353,0.735,12.732,179.429
14,41,0.447,0.846,10.358,152.632
15,44,0.481,0.835,11.668,164.204
16,51,0.453,0.842,13.822,191.474
17,51,0.481,0.814,13.223,189.585
18,54,0.424,0.722,13.942,198.178
19,49,0.484,0.801,12.634,183.141
20,28,0.212,0.827,7.163,105.731
21,26,0.360,0.819,7.640,102.428
22,47,0.435,0.812,12.177,173.809
23,21,0.225,0.889,5.446,81.169
24,46,0.427,0.775,12.793,174.410
25,40,0.500,0.761,10.327,147.763
26,42,0.451,0.878,12.069,159.650
27,46,0.495,0.862,12.378,174.962
28,35,0.359,0.813,9.513,136.850
29,61,0.433,0.818,16.337,227.156
