Data,Feasible Num,Space Utilization,Plain Occupancy,Planning Time,All time
0,36,0.597,0.907,15.068,137.679
1,56,0.642,0.912,22.488,209.276
2,62,0.552,0.907,28.816,243.453
3,55,0.608,0.911,23.623,193.954
4,57,0.598,0.912,24.393,201.171
5,67,0.669,0.928,29.998,235.657
6,75,0.710,0.943,31.935,262.050
7,41,0.626,0.920,16.713,147.654
8,61,0.574,0.912,25.094,218.292
9,50,0.550,0.916,19.239,176.216
10,50,0.612,0.920,19.488,176.624
11,68,0.598,0.889,28.940,240.777
12,45,0.544,0.913,18.470,154.419
13,72,0.629,0.902,29.606,250.216
14,67,0.649,0.913,27.033,226.683
15,53,0.593,0.921,21.431,180.103
16,62,0.616,0.929,26.205,211.440
17,63,0.599,0.892,26.978,213.596
18,74,0.597,0.920,32.194,252.311
19,68,0.664,0.898,27.008,231.827
20,62,0.577,0.909,25.410,208.867
21,50,0.641,0.905,17.164,163.824
22,72,0.627,0.915,27.073,235.975
23,72,0.648,0.941,27.014,233.054
24,74,0.638,0.916,27.939,239.304
25,61,0.691,0.883,21.815,195.418
26,62,0.689,0.895,23.468,200.695
27,59,0.615,0.900,22.751,191.620
28,52,0.602,0.889,17.347,166.160
29,80,0.568,0.908,30.302,251.008
