Data,Feasible Num,Plain Occupancy,Planning Time,All time
0,38,0.941,0.092,128.455
1,56,0.908,0.252,194.644
2,76,0.892,0.369,255.424
3,55,0.914,0.182,179.325
4,58,0.897,0.232,198.062
5,63,0.926,0.237,208.619
6,71,0.934,0.156,231.300
7,40,0.933,0.182,140.013
8,61,0.906,0.335,210.177
9,51,0.907,0.178,173.789
10,50,0.924,0.171,172.266
11,70,0.885,0.284,241.206
12,44,0.919,0.187,148.837
13,76,0.876,0.422,254.729
14,67,0.900,0.375,222.852
15,53,0.892,0.186,183.652
16,61,0.930,0.332,204.830
17,68,0.917,0.342,229.161
18,80,0.904,0.449,267.199
19,64,0.916,0.227,219.468
20,66,0.888,0.292,223.758
21,50,0.916,0.172,165.017
22,75,0.888,0.290,251.098
23,69,0.924,0.390,234.939
24,74,0.905,0.420,246.144
25,58,0.867,0.324,197.040
26,51,0.922,0.208,171.667
27,59,0.887,0.221,195.571
28,48,0.902,0.197,165.876
29,80,0.906,0.367,263.404
