Data,Feasible Num,Space Utilization,Planning Time,All time
0,51,0.5501,88.6685,218.2383
1,46,0.6346,78.2774,195.8733
2,46,0.6829,71.5580,189.0628
3,43,0.6476,70.9269,181.5719
4,61,0.6295,112.1430,265.4581
5,58,0.6330,102.4561,249.8849
6,57,0.6101,101.0352,244.6333
7,49,0.6115,79.5609,204.1402
8,61,0.6578,105.7305,259.4064
9,77,0.6709,178.8549,372.3068
10,24,0.5616,24.9996,89.6723
11,49,0.6680,75.2376,199.7637
12,75,0.6722,155.1477,342.4262
13,69,0.6135,139.3236,312.4873
14,58,0.6985,118.4854,264.2637
15,29,0.5751,36.2335,112.7736
16,53,0.6879,95.9594,229.8082
17,60,0.5998,98.0851,246.7835
18,55,0.6370,86.1670,222.9139
19,39,0.5472,44.9357,143.3244
20,54,0.5798,80.9352,214.3579
21,80,0.6088,175.6820,369.0940
22,49,0.5823,77.2355,202.0274
23,45,0.5766,65.6670,179.1227
24,31,0.5673,34.8807,114.8492
25,16,0.5211,17.3340,62.7998
26,44,0.5491,75.0358,185.9844
27,59,0.5490,99.5997,246.0324
28,43,0.5913,70.7726,178.9258
29,52,0.6950,83.0170,213.0084
