Data,Feasible Num,Space Utilization,Planning Time,All time
0,44,0.5170,41.7478,146.0034
1,57,0.5407,61.6836,195.7820
2,41,0.5351,37.6242,134.9013
3,62,0.4907,67.3128,212.2777
4,25,0.3603,16.7006,77.6399
5,53,0.5508,56.0569,180.8052
6,40,0.5867,32.8743,128.1913
7,60,0.5892,69.8917,210.8372
8,56,0.5133,62.8001,194.6408
9,76,0.5998,99.5764,276.6443
10,38,0.5242,33.3854,123.8562
11,51,0.6365,52.6546,172.6344
12,47,0.5647,44.7293,155.7840
13,35,0.4197,29.4723,113.0654
14,48,0.5609,48.2872,161.9247
15,36,0.5518,31.2069,116.9745
16,51,0.5558,53.3913,173.7023
17,56,0.5315,64.4936,195.7864
18,28,0.5019,21.1036,88.9000
19,32,0.5687,24.1040,101.0941
20,43,0.5139,38.7243,140.5145
21,46,0.5669,43.9319,152.6175
22,55,0.5736,58.2920,187.9753
23,51,0.5386,53.1899,173.2070
24,67,0.6066,81.8685,239.0865
25,54,0.5487,56.3705,183.4187
26,39,0.6216,34.1871,129.1427
27,49,0.6412,48.3256,164.4147
28,54,0.5916,62.8252,189.5810
29,33,0.4619,28.1436,107.2082
