Data,Feasible Num,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,24,0.427,0.043,0.822,33.790,179.775
1,18,0.421,0.028,0.897,24.693,125.287
2,14,0.320,0.047,0.764,18.875,99.279
3,17,0.222,0.045,0.693,25.211,125.650
4,24,0.258,0.060,0.760,32.841,182.476
5,18,0.261,0.044,0.838,25.366,132.240
6,18,0.264,0.038,0.823,27.985,130.123
7,12,0.347,0.024,0.834,17.799,87.133
8,13,0.418,0.051,0.739,18.712,90.190
9,17,0.254,0.062,0.716,25.281,118.879
10,14,0.411,0.026,0.853,20.641,108.781
11,19,0.354,0.039,0.753,25.595,138.134
12,12,0.335,0.040,0.915,16.792,83.824
13,12,0.391,0.056,0.835,16.926,89.595
14,11,0.381,0.033,0.818,12.729,68.171
15,13,0.410,0.031,0.911,13.147,82.137
16,16,0.322,0.051,0.791,15.889,103.566
17,10,0.415,0.040,0.919,10.562,64.645
18,10,0.162,0.035,0.664,10.100,72.746
19,12,0.315,0.050,0.691,13.315,75.687
20,12,0.336,0.039,0.789,12.691,78.068
21,20,0.397,0.039,0.773,21.014,128.258
22,5,0.355,0.055,0.755,5.768,39.478
23,19,0.353,0.026,0.731,22.535,127.329
24,16,0.431,0.026,0.895,12.255,87.614
25,14,0.174,0.076,0.661,12.899,88.461
26,23,0.364,0.029,0.893,19.344,140.802
27,16,0.406,0.029,0.866,13.508,96.678
28,8,0.172,0.054,0.642,5.405,45.916
29,13,0.333,0.084,0.705,8.844,67.393
