Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,7,0.384,0.010,0.024,0.914,1.559,25.689
1,3,0.385,0.000,0.000,0.967,0.900,12.846
2,4,0.423,0.001,0.002,0.932,1.088,15.684
3,3,0.443,0.000,0.000,0.948,0.883,12.752
4,1,0.338,0.000,0.000,0.988,0.540,7.034
5,3,0.349,0.000,0.000,0.968,0.890,12.696
6,5,0.418,0.001,0.001,0.916,1.266,19.061
7,4,0.436,0.000,0.001,0.958,1.144,15.886
8,9,0.398,0.085,0.133,0.642,1.929,33.595
9,3,0.405,0.000,0.000,0.938,0.858,12.924
10,8,0.384,0.005,0.011,0.807,1.606,29.241
11,4,0.500,0.000,0.001,0.936,1.080,15.763
12,4,0.400,0.009,0.015,0.923,1.034,15.979
13,1,0.428,0.000,0.000,1.000,0.652,7.175
14,3,0.406,0.001,0.002,1.000,0.873,12.653
15,1,0.451,0.000,0.000,1.000,0.553,7.011
16,2,0.348,0.000,0.000,0.990,0.738,10.044
17,7,0.370,0.007,0.012,0.896,1.590,25.709
18,1,0.378,0.000,0.000,1.000,0.572,7.051
19,3,0.410,0.000,0.000,1.000,0.901,12.685
20,4,0.410,0.002,0.003,0.955,1.109,16.012
21,6,0.446,0.017,0.035,0.853,1.472,22.417
22,6,0.413,0.013,0.028,0.793,1.369,22.375
23,2,0.415,0.000,0.000,0.928,0.702,9.962
24,4,0.430,0.000,0.000,0.967,1.068,15.836
25,4,0.449,0.000,0.001,0.902,0.973,15.576
26,3,0.442,0.000,0.000,0.999,0.943,12.766
27,2,0.381,0.000,0.000,1.000,0.796,9.902
28,2,0.429,0.000,0.000,1.000,0.737,9.893
29,6,0.419,0.015,0.023,0.783,1.462,22.706
