Data,Feasible Num,Space Utilization,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,9,0.099,0.154,0.046,0.750,0.039,38.425
1,6,0.092,0.293,0.081,0.703,0.015,28.258
2,11,0.201,0.294,0.045,0.697,0.027,45.763
3,7,0.144,0.218,0.076,0.645,0.010,31.464
4,16,0.283,0.110,0.036,0.610,0.039,67.380
5,13,0.262,0.119,0.043,0.658,0.026,53.879
6,13,0.241,0.281,0.042,0.823,0.030,53.392
7,14,0.246,0.298,0.039,0.872,0.058,58.785
8,15,0.241,0.422,0.066,0.719,0.042,61.846
9,10,0.158,0.151,0.069,0.614,0.023,42.588
10,6,0.093,0.208,0.031,0.753,0.016,28.123
11,9,0.175,0.395,0.135,0.693,0.019,38.468
12,9,0.138,0.257,0.056,0.736,0.027,38.712
13,6,0.094,0.334,0.018,0.799,0.015,28.055
14,4,0.072,0.388,0.011,0.882,0.007,21.841
15,9,0.181,0.351,0.074,0.717,0.022,38.342
16,8,0.169,0.155,0.065,0.701,0.014,35.035
17,11,0.174,0.263,0.030,0.847,0.033,46.133
18,11,0.224,0.207,0.078,0.716,0.046,45.904
19,7,0.118,0.223,0.120,0.672,0.013,31.269
20,9,0.182,0.304,0.095,0.746,0.021,38.458
21,9,0.177,0.307,0.053,0.843,0.029,38.451
22,5,0.114,0.356,0.037,0.755,0.008,24.895
23,8,0.152,0.295,0.053,0.745,0.019,34.688
24,8,0.099,0.239,0.035,0.714,0.029,34.697
25,9,0.153,0.236,0.053,0.673,0.018,38.944
26,10,0.199,0.198,0.045,0.691,0.024,41.839
27,12,0.207,0.254,0.030,0.737,0.036,49.737
28,8,0.177,0.284,0.062,0.669,0.020,34.597
29,10,0.204,0.297,0.083,0.682,0.018,41.760
