Data,Feasible Num,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,7,0.414,0.003,0.869,32.955,80.828
1,8,0.447,0.004,0.887,32.652,78.965
2,7,0.450,0.000,0.975,25.350,63.968
3,3,0.448,0.000,0.974,7.357,31.639
4,5,0.418,0.000,0.979,13.211,45.732
5,3,0.402,0.000,0.999,10.760,32.654
6,8,0.436,0.004,0.962,31.029,75.764
7,8,0.451,0.004,0.926,31.613,75.012
8,10,0.430,0.053,0.736,109.764,172.847
9,8,0.439,0.002,0.969,27.784,68.059
10,15,0.397,0.029,0.797,87.320,170.523
11,7,0.398,0.001,0.954,21.994,60.977
12,4,0.435,0.001,0.978,15.615,41.102
13,10,0.425,0.030,0.749,74.183,179.849
14,11,0.325,0.041,0.759,86.085,161.401
15,15,0.430,0.040,0.900,65.225,154.848
16,7,0.359,0.015,0.804,27.710,66.815
17,17,0.401,0.035,0.846,88.846,187.770
18,1,0.418,0.000,1.000,1.941,22.587
19,3,0.471,0.000,1.000,10.623,35.045
20,6,0.449,0.001,0.985,21.750,55.909
21,15,0.431,0.032,0.905,78.261,156.624
22,7,0.495,0.002,0.928,28.452,67.615
23,3,0.441,0.000,1.000,6.050,29.156
24,4,0.465,0.000,0.977,13.751,39.676
25,4,0.473,0.001,0.951,9.642,38.639
26,4,0.447,0.000,0.986,10.855,36.414
27,19,0.453,0.037,0.846,118.704,228.520
28,2,0.469,0.000,1.000,4.693,26.225
29,7,0.467,0.011,0.837,26.383,65.100
