Data,Feasible Num,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,21,0.334,0.030,0.871,18.060,113.283
1,27,0.234,0.069,0.838,24.229,151.325
2,18,0.203,0.038,0.822,12.960,90.808
3,11,0.384,0.039,0.788,5.247,52.043
4,15,0.232,0.044,0.775,10.021,74.683
5,14,0.266,0.037,0.830,7.765,65.548
6,21,0.255,0.027,0.891,15.537,107.294
7,27,0.293,0.034,0.853,26.006,154.839
8,20,0.336,0.052,0.761,14.732,98.873
9,18,0.233,0.026,0.793,12.590,90.156
10,21,0.263,0.035,0.804,15.289,110.506
11,18,0.227,0.032,0.812,15.789,93.934
12,18,0.242,0.051,0.849,12.118,90.097
13,19,0.217,0.041,0.790,16.079,97.794
14,22,0.268,0.043,0.840,17.171,116.064
15,16,0.209,0.047,0.815,10.803,79.750
16,8,0.218,0.017,0.766,3.323,39.491
17,23,0.256,0.047,0.870,21.345,125.834
18,23,0.195,0.052,0.760,17.044,120.546
19,25,0.170,0.068,0.762,19.667,134.805
20,23,0.223,0.034,0.835,14.114,121.286
21,22,0.261,0.048,0.870,17.548,114.641
22,17,0.255,0.029,0.784,10.985,83.354
23,21,0.246,0.056,0.857,17.886,110.855
24,17,0.283,0.034,0.824,12.750,85.448
25,18,0.208,0.043,0.785,12.436,91.280
26,23,0.311,0.044,0.817,16.604,124.622
27,23,0.313,0.050,0.876,22.420,130.014
28,27,0.236,0.052,0.786,23.420,152.689
29,12,0.396,0.009,0.724,7.711,57.776
