Data,Feasible Num,Space Utilization,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,19,0.279,0.325,0.039,0.874,19.933,102.411
1,14,0.249,0.438,0.056,0.881,14.873,74.401
2,15,0.275,0.383,0.073,0.813,14.689,77.182
3,11,0.235,0.323,0.017,0.786,7.969,54.977
4,18,0.313,0.252,0.041,0.805,17.828,93.789
5,9,0.166,0.362,0.044,0.877,7.871,46.941
6,13,0.241,0.286,0.035,0.863,12.956,69.967
7,15,0.269,0.272,0.051,0.812,16.726,79.323
8,10,0.156,0.437,0.066,0.754,9.017,51.626
9,14,0.230,0.292,0.039,0.761,13.454,73.178
10,11,0.202,0.396,0.031,0.909,9.287,55.668
11,14,0.242,0.256,0.049,0.871,15.237,74.346
12,16,0.306,0.226,0.038,0.759,14.714,83.244
13,20,0.313,0.343,0.042,0.813,23.021,109.675
14,15,0.266,0.196,0.059,0.875,16.573,79.711
15,20,0.379,0.399,0.030,0.858,20.444,108.316
16,16,0.282,0.350,0.062,0.855,14.748,82.992
17,14,0.221,0.320,0.048,0.889,15.253,74.017
18,19,0.349,0.149,0.058,0.800,19.226,101.686
19,13,0.228,0.136,0.056,0.705,12.946,68.513
20,12,0.257,0.253,0.026,0.840,8.921,58.930
21,14,0.256,0.338,0.088,0.883,15.775,74.128
22,12,0.230,0.244,0.031,0.868,10.538,61.202
23,10,0.193,0.323,0.072,0.818,9.096,52.536
24,14,0.193,0.298,0.036,0.897,14.758,75.703
25,16,0.273,0.283,0.024,0.849,15.258,81.211
26,18,0.330,0.254,0.038,0.835,15.594,91.576
27,16,0.261,0.429,0.040,0.905,19.337,88.677
28,12,0.230,0.336,0.052,0.804,11.292,62.860
29,12,0.226,0.285,0.031,0.674,10.952,62.228
