Data,Feasible Num,Space Utilization,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,23,0.353,0.127,0.046,0.736,0.060,103.478
1,11,0.198,0.307,0.051,0.617,0.021,46.155
2,10,0.177,0.324,0.051,0.798,0.016,41.980
3,6,0.117,0.317,0.032,0.686,0.007,28.249
4,18,0.313,0.097,0.062,0.620,0.036,77.323
5,10,0.192,0.192,0.045,0.766,0.016,42.598
6,12,0.220,0.343,0.037,0.911,0.025,49.739
7,25,0.414,0.205,0.054,0.751,0.067,113.188
8,14,0.238,0.298,0.079,0.742,0.028,57.860
9,14,0.230,0.100,0.056,0.609,0.027,58.952
10,8,0.128,0.302,0.022,0.790,0.011,35.063
11,21,0.345,0.271,0.042,0.800,0.055,92.120
12,22,0.417,0.231,0.040,0.781,0.052,98.243
13,14,0.213,0.346,0.046,0.770,0.042,57.970
14,6,0.108,0.387,0.007,0.922,0.012,27.746
15,16,0.311,0.142,0.046,0.670,0.035,67.107
16,11,0.204,0.152,0.038,0.679,0.017,45.905
17,12,0.188,0.248,0.043,0.887,0.024,51.318
18,17,0.301,0.182,0.044,0.733,0.050,72.749
19,17,0.305,0.169,0.036,0.624,0.035,73.692
20,11,0.237,0.334,0.050,0.829,0.019,46.019
21,13,0.243,0.290,0.042,0.865,0.036,53.796
22,9,0.183,0.209,0.050,0.646,0.013,38.311
23,10,0.193,0.269,0.036,0.733,0.016,43.013
24,21,0.302,0.316,0.032,0.866,0.078,92.223
25,20,0.329,0.176,0.051,0.622,0.046,86.003
26,21,0.406,0.191,0.046,0.811,0.046,92.655
27,10,0.171,0.371,0.042,0.826,0.015,41.732
28,17,0.311,0.123,0.041,0.662,0.051,72.943
29,16,0.270,0.305,0.078,0.691,0.040,67.364
