Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,22,0.2371,0.0527,0.0975,0.1793,4.3989,94.6660
1,22,0.2824,0.0227,0.0678,0.1893,4.2576,93.4247
2,22,0.2397,0.0424,0.0810,0.1822,3.9970,92.0111
3,19,0.2685,0.0382,0.0973,0.1759,3.7084,77.4171
4,20,0.2393,0.0386,0.0945,0.1594,3.4618,84.8658
5,13,0.2634,0.0361,0.0723,0.1035,2.2682,50.1347
6,16,0.2923,0.0426,0.0975,0.1449,2.6309,63.7623
7,20,0.2427,0.0304,0.0883,0.1662,3.5974,81.9981
8,28,0.2475,0.0457,0.0902,0.2590,5.4945,129.9591
9,18,0.3183,0.0175,0.1670,0.1343,3.1876,73.9086
10,23,0.2269,0.0417,0.1159,0.1879,4.8945,100.7745
11,19,0.2827,0.0335,0.0746,0.1527,3.1888,76.2523
12,19,0.2829,0.0425,0.1053,0.1644,3.3874,78.2224
13,19,0.3347,0.0332,0.0974,0.1322,3.8003,77.0654
14,20,0.2045,0.0361,0.0970,0.2052,3.6109,84.9473
15,18,0.3248,0.0200,0.0851,0.1477,3.5846,72.9177
16,15,0.2034,0.0379,0.1035,0.1264,2.8372,58.4679
17,21,0.2300,0.0253,0.0789,0.2007,3.4855,88.6201
18,19,0.2144,0.0255,0.1142,0.1688,3.1243,79.5635
19,16,0.2898,0.0278,0.0661,0.1373,2.9086,64.8689
20,11,0.3256,0.0342,0.0709,0.1100,1.5761,42.1986
21,20,0.2040,0.0374,0.1075,0.1540,3.4810,83.7726
22,14,0.3066,0.0076,0.0153,0.1446,2.1770,55.0362
23,22,0.2536,0.0353,0.1043,0.1892,4.0298,94.2787
24,16,0.2915,0.0354,0.0875,0.1311,2.9508,63.2154
25,19,0.3006,0.0171,0.0720,0.1330,4.1817,79.0352
26,20,0.2784,0.0321,0.0902,0.1663,3.8563,83.3696
27,23,0.2806,0.0247,0.0844,0.1867,4.7629,98.4181
28,17,0.2184,0.0264,0.0811,0.1512,2.8262,68.1147
29,15,0.2488,0.0240,0.0649,0.1069,2.7628,59.0319
