Data,Feasible Num,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,5,0.167,0.035,0.785,9.382,42.377
1,9,0.135,0.045,0.618,56.108,99.460
2,4,0.427,0.004,0.920,3.658,30.376
3,7,0.227,0.059,0.643,26.890,68.520
4,12,0.115,0.029,0.633,121.493,171.159
5,7,0.208,0.044,0.743,31.946,81.789
6,4,0.401,0.004,0.923,4.895,33.768
7,7,0.317,0.069,0.789,23.025,66.495
8,13,0.375,0.034,0.669,91.645,144.740
9,9,0.151,0.048,0.649,49.704,96.700
10,3,0.254,0.005,0.916,2.565,24.496
11,6,0.295,0.027,0.738,17.692,64.823
12,8,0.232,0.066,0.752,50.044,103.749
13,6,0.281,0.053,0.781,14.997,47.908
14,8,0.169,0.068,0.631,47.334,88.150
15,8,0.300,0.075,0.704,33.685,83.693
16,8,0.155,0.065,0.701,26.044,69.362
17,4,0.419,0.020,0.957,4.880,33.450
18,11,0.250,0.071,0.721,134.011,193.973
19,10,0.126,0.074,0.586,59.422,120.528
20,5,0.420,0.058,0.885,12.706,49.051
21,3,0.458,0.018,0.954,3.361,27.802
22,5,0.356,0.037,0.755,7.944,39.491
23,12,0.192,0.053,0.618,124.627,192.607
24,8,0.205,0.081,0.648,55.026,113.303
25,7,0.288,0.068,0.700,17.401,58.105
26,9,0.197,0.070,0.671,59.290,106.019
27,9,0.224,0.073,0.699,56.343,114.355
28,7,0.327,0.047,0.678,36.680,93.157
29,10,0.300,0.075,0.682,60.613,141.656
