Data,Feasible Num,Space Utilization,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,19,0.279,0.158,0.035,0.684,0.047,83.237
1,12,0.220,0.191,0.022,0.699,0.024,50.236
2,13,0.233,0.281,0.026,0.877,0.019,53.314
3,11,0.235,0.242,0.032,0.782,0.014,46.165
4,5,0.094,0.222,0.039,0.854,0.009,24.972
5,18,0.360,0.207,0.042,0.702,0.028,77.826
6,21,0.405,0.283,0.018,0.814,0.038,90.052
7,17,0.295,0.232,0.023,0.690,0.041,74.197
8,15,0.241,0.404,0.046,0.773,0.030,60.901
9,13,0.220,0.254,0.032,0.752,0.025,55.570
10,11,0.202,0.180,0.038,0.712,0.014,46.277
11,10,0.189,0.218,0.027,0.784,0.016,41.651
12,18,0.344,0.147,0.035,0.717,0.032,78.451
13,14,0.213,0.168,0.070,0.690,0.032,58.982
14,29,0.517,0.266,0.038,0.764,0.056,138.949
15,16,0.311,0.128,0.024,0.720,0.028,68.070
16,8,0.169,0.203,0.010,0.765,0.013,35.209
17,20,0.322,0.224,0.054,0.749,0.034,89.295
18,12,0.238,0.209,0.008,0.696,0.030,50.929
19,23,0.431,0.194,0.038,0.724,0.052,102.804
20,13,0.285,0.227,0.038,0.762,0.021,54.492
21,17,0.300,0.244,0.034,0.874,0.035,74.133
22,12,0.230,0.231,0.037,0.638,0.018,49.927
23,19,0.317,0.238,0.037,0.846,0.040,82.011
24,14,0.193,0.214,0.022,0.685,0.021,57.734
25,15,0.264,0.227,0.047,0.706,0.027,63.188
26,18,0.330,0.162,0.040,0.704,0.034,78.791
27,24,0.395,0.207,0.054,0.834,0.056,110.505
28,12,0.230,0.162,0.059,0.651,0.020,51.163
29,15,0.260,0.328,0.051,0.696,0.032,60.999
