Data,Feasible Num,Space Utilization,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,29,0.466,0.382,0.020,0.801,15.597,194.637
1,20,0.321,0.427,0.049,0.917,10.536,126.050
2,16,0.296,0.297,0.040,0.768,8.867,102.452
3,14,0.275,0.344,0.070,0.697,8.800,91.130
4,19,0.327,0.357,0.041,0.806,11.570,130.836
5,17,0.339,0.297,0.028,0.793,9.802,102.214
6,12,0.220,0.420,0.021,0.843,6.932,80.737
7,21,0.352,0.308,0.043,0.725,11.800,139.248
8,11,0.181,0.399,0.048,0.720,6.277,67.912
9,15,0.248,0.260,0.015,0.770,8.962,91.742
10,15,0.257,0.421,0.043,0.823,8.028,94.742
11,23,0.374,0.319,0.025,0.679,12.678,151.339
12,13,0.226,0.400,0.030,0.935,7.305,80.911
13,14,0.213,0.422,0.026,0.878,7.462,86.054
14,13,0.219,0.394,0.027,0.814,7.867,90.606
15,21,0.400,0.242,0.027,0.770,11.926,138.663
16,8,0.169,0.430,0.035,0.855,4.483,54.679
17,19,0.291,0.446,0.032,0.913,11.065,118.380
18,13,0.254,0.240,0.039,0.747,7.612,81.251
19,13,0.228,0.392,0.036,0.801,7.306,82.706
20,10,0.212,0.406,0.016,0.887,5.069,59.369
21,17,0.300,0.459,0.051,0.854,7.704,97.296
22,15,0.288,0.305,0.022,0.683,6.828,84.555
23,26,0.449,0.422,0.043,0.807,11.226,165.643
24,23,0.333,0.396,0.029,0.777,9.926,137.136
25,17,0.299,0.386,0.033,0.796,6.742,93.694
26,16,0.312,0.433,0.023,0.841,7.074,97.214
27,20,0.327,0.413,0.042,0.860,8.462,115.613
28,19,0.329,0.374,0.039,0.759,8.827,117.029
29,10,0.204,0.330,0.038,0.727,4.334,66.102
