Data,Feasible Num,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,3,0.487,0.000,0.997,1.636,36.123
1,4,0.469,0.001,0.993,1.903,40.840
2,1,0.524,0.000,1.000,0.996,27.942
3,3,0.467,0.000,1.000,1.488,35.978
4,1,0.320,0.000,0.988,1.074,29.118
5,3,0.453,0.000,0.999,1.396,38.143
6,7,0.459,0.000,1.000,2.194,49.656
7,4,0.465,0.000,0.999,2.202,36.195
8,2,0.496,0.000,0.994,1.046,27.610
9,4,0.414,0.000,1.000,1.486,38.449
10,5,0.388,0.000,0.974,1.876,45.555
11,3,0.404,0.000,1.000,1.334,33.077
12,2,0.410,0.000,1.000,1.140,31.909
13,3,0.439,0.000,1.000,1.306,33.029
14,3,0.454,0.000,1.000,1.514,37.933
15,1,0.427,0.000,1.000,1.343,25.984
16,3,0.511,0.001,1.000,1.597,35.797
17,1,0.494,0.000,1.000,1.256,25.711
18,1,0.384,0.000,1.000,1.123,29.543
19,3,0.441,0.000,1.000,1.435,37.713
20,4,0.430,0.000,1.000,1.859,39.663
21,2,0.459,0.000,1.000,1.392,29.876
22,2,0.431,0.000,1.000,1.372,28.014
23,3,0.474,0.000,1.000,1.254,32.525
24,4,0.485,0.000,0.996,1.982,40.825
25,3,0.490,0.000,0.996,1.430,38.699
26,4,0.464,0.001,0.999,1.653,39.672
27,4,0.469,0.001,1.000,1.571,32.815
28,2,0.438,0.000,1.000,1.125,34.627
29,1,0.470,0.000,1.000,1.062,32.012
