Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,14,0.164,0.050,0.105,0.661,24.478,90.110
1,7,0.147,0.047,0.104,0.539,6.142,38.928
2,9,0.147,0.035,0.093,0.650,6.880,47.437
3,8,0.262,0.079,0.303,0.651,5.670,42.406
4,8,0.133,0.036,0.088,0.563,5.893,41.599
5,7,0.197,0.038,0.077,0.721,5.492,38.080
6,4,0.217,0.028,0.055,0.756,2.758,26.628
7,3,0.329,0.002,0.004,0.870,2.309,22.891
8,8,0.252,0.044,0.088,0.658,7.347,45.213
9,3,0.176,0.005,0.011,0.762,2.240,21.640
10,5,0.144,0.054,0.084,0.667,4.527,29.797
11,4,0.380,0.018,0.058,0.742,2.823,24.622
12,5,0.184,0.017,0.025,0.762,2.883,28.772
13,9,0.193,0.026,0.058,0.621,6.918,45.203
14,8,0.139,0.035,0.096,0.664,6.272,40.700
15,3,0.249,0.074,0.140,0.745,1.324,20.796
16,5,0.260,0.016,0.038,0.759,2.496,28.720
17,5,0.298,0.011,0.017,0.784,5.095,30.846
18,6,0.260,0.049,0.138,0.622,3.457,32.235
19,7,0.177,0.023,0.040,0.693,6.048,37.788
20,8,0.134,0.017,0.036,0.653,6.216,40.770
21,8,0.149,0.086,0.263,0.649,7.199,42.992
22,11,0.291,0.059,0.088,0.658,8.118,55.255
23,3,0.355,0.009,0.023,0.868,1.260,19.819
24,6,0.139,0.057,0.115,0.594,5.629,34.959
25,13,0.127,0.064,0.114,0.530,9.448,65.621
26,10,0.059,0.037,0.076,0.516,5.981,48.965
27,8,0.196,0.041,0.097,0.673,7.000,42.083
28,5,0.156,0.024,0.094,0.612,2.613,28.458
29,10,0.155,0.103,0.245,0.536,7.566,51.598
