Data,Feasible Num,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,11,0.328,0.071,0.711,174.861,233.723
1,10,0.336,0.062,0.661,159.769,212.383
2,12,0.273,0.068,0.681,164.699,217.865
3,7,0.218,0.076,0.645,100.458,154.227
4,12,0.152,0.018,0.633,143.804,193.414
5,7,0.208,0.044,0.743,111.276,163.962
6,4,0.401,0.004,0.923,73.516,113.753
7,16,0.401,0.031,0.757,241.441,308.589
8,12,0.406,0.135,0.685,135.496,187.186
9,9,0.151,0.048,0.649,109.723,170.883
10,5,0.155,0.038,0.796,85.065,117.936
11,9,0.394,0.137,0.693,135.868,194.379
12,8,0.232,0.066,0.752,106.185,156.986
13,6,0.334,0.018,0.799,71.460,121.545
14,4,0.388,0.011,0.882,66.287,102.811
15,9,0.301,0.071,0.692,121.231,179.622
16,8,0.155,0.065,0.701,68.716,122.982
17,12,0.271,0.079,0.829,177.751,229.251
18,12,0.262,0.072,0.714,168.714,226.713
19,9,0.174,0.076,0.616,119.672,178.780
20,7,0.372,0.037,0.799,98.695,153.114
21,8,0.421,0.072,0.853,140.809,178.191
22,5,0.356,0.037,0.755,65.230,111.230
23,7,0.326,0.051,0.749,96.457,128.616
24,11,0.248,0.053,0.653,161.203,215.082
25,9,0.249,0.043,0.680,118.074,169.952
26,7,0.255,0.081,0.753,105.969,140.448
27,7,0.295,0.019,0.808,101.045,149.899
28,8,0.317,0.082,0.675,129.628,177.118
29,10,0.297,0.078,0.682,118.025,178.556
