Data,Feasible Num,Space Utilization,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,21,0.310,0.343,0.022,0.839,1.726,96.318
1,10,0.179,0.427,0.010,0.836,0.950,44.763
2,16,0.296,0.243,0.038,0.785,1.450,69.318
3,19,0.344,0.245,0.071,0.743,1.536,81.389
4,13,0.248,0.262,0.040,0.839,1.108,57.667
5,13,0.262,0.221,0.027,0.788,1.177,57.645
6,20,0.386,0.252,0.056,0.869,1.880,92.060
7,30,0.470,0.208,0.043,0.789,2.929,152.847
8,19,0.313,0.294,0.060,0.721,1.738,83.349
9,13,0.220,0.338,0.024,0.903,1.314,56.029
10,23,0.406,0.247,0.055,0.801,2.024,106.165
11,20,0.332,0.252,0.056,0.785,2.106,88.904
12,16,0.306,0.249,0.034,0.833,1.354,69.625
13,23,0.374,0.268,0.058,0.864,2.022,104.845
14,17,0.307,0.293,0.067,0.844,1.435,77.131
15,10,0.212,0.207,0.024,0.809,1.023,44.837
16,12,0.216,0.172,0.050,0.703,1.076,52.347
17,21,0.347,0.244,0.025,0.853,1.810,96.247
18,19,0.349,0.143,0.051,0.734,1.719,85.278
19,25,0.470,0.256,0.055,0.763,2.156,119.100
20,25,0.498,0.261,0.032,0.808,1.944,121.054
21,16,0.289,0.292,0.031,0.901,1.618,70.760
22,11,0.225,0.271,0.018,0.787,1.043,48.432
23,16,0.264,0.278,0.036,0.886,1.813,69.599
24,23,0.333,0.228,0.051,0.772,1.947,107.438
25,22,0.358,0.204,0.067,0.729,2.184,101.813
26,14,0.280,0.311,0.044,0.831,1.311,61.797
27,10,0.171,0.325,0.020,0.885,1.033,44.419
28,15,0.280,0.163,0.073,0.650,1.313,65.593
29,23,0.369,0.277,0.060,0.686,1.666,104.886
