Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,5,0.2932,0.0001,0.0006,0.0403,1.0056,30.2848
1,3,0.3648,0.0001,0.0003,0.0277,0.6473,20.4106
2,3,0.3108,0.0004,0.0008,0.0223,0.7778,21.0276
3,3,0.2956,0.0005,0.0007,0.0245,0.7485,21.0469
4,6,0.3473,0.0002,0.0010,0.0441,0.9443,35.6042
5,2,0.2897,0.0000,0.0000,0.0182,0.5577,16.0768
6,5,0.3884,0.0000,0.0000,0.0382,0.9830,30.6105
7,6,0.3130,0.0001,0.0005,0.0455,0.8590,35.6076
8,6,0.3063,0.0001,0.0002,0.0468,1.1192,35.5543
9,6,0.3454,0.0005,0.0012,0.0413,1.1325,34.8774
10,4,0.3275,0.0006,0.0022,0.0423,0.8386,25.9902
11,4,0.3109,0.0002,0.0009,0.0325,0.8863,25.8156
12,5,0.3518,0.0001,0.0003,0.0427,0.7467,29.9602
13,3,0.3032,0.0003,0.0006,0.0256,0.7489,21.1702
14,3,0.3322,0.0004,0.0010,0.0336,0.7507,21.1254
15,6,0.3496,0.0001,0.0007,0.0499,0.8345,34.7347
16,2,0.2649,0.0010,0.0019,0.0250,0.7403,16.4598
17,5,0.3091,0.0004,0.0012,0.0457,0.8864,30.1719
18,5,0.2982,0.0002,0.0007,0.0409,0.8734,30.8067
19,2,0.2710,0.0016,0.0028,0.0266,0.6222,16.4037
20,2,0.3536,0.0000,0.0000,0.0200,0.7167,16.5622
21,2,0.3964,0.0006,0.0007,0.0133,0.5432,15.9820
22,4,0.3692,0.0001,0.0003,0.0458,0.7865,25.1438
23,3,0.3045,0.0006,0.0013,0.0213,0.7485,21.1403
24,4,0.3285,0.0003,0.0007,0.0426,0.8229,25.6372
25,6,0.2734,0.0001,0.0002,0.0443,0.9474,35.3723
26,6,0.3375,0.0005,0.0014,0.0448,1.0444,34.7413
27,5,0.3460,0.0001,0.0001,0.0464,1.0079,31.4671
28,2,0.3515,0.0004,0.0006,0.0170,0.7309,16.4309
29,5,0.3047,0.0003,0.0005,0.0496,0.7245,30.2944
