Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,13,0.2389,0.0278,0.0730,0.0993,2.3210,42.8333
1,19,0.3106,0.0314,0.1059,0.1356,3.4457,66.6815
2,21,0.2594,0.0205,0.0745,0.1559,3.5846,75.3703
3,22,0.2145,0.0362,0.0647,0.1853,3.7712,82.2584
4,30,0.1799,0.0435,0.1052,0.2421,5.2571,122.6574
5,30,0.2216,0.0440,0.0814,0.2134,6.1064,122.8404
6,31,0.2920,0.0369,0.0966,0.2166,6.4538,129.4452
7,16,0.2729,0.0120,0.0384,0.1258,2.7709,55.6168
8,23,0.2350,0.0396,0.0807,0.1661,4.6464,86.9903
9,25,0.2568,0.0328,0.0849,0.1832,4.9332,97.6956
10,24,0.2315,0.0283,0.0575,0.1768,4.4866,92.0947
11,16,0.2511,0.0330,0.0904,0.1460,2.3640,53.8629
12,24,0.2072,0.0330,0.0788,0.2066,4.0026,91.3826
13,26,0.2183,0.0247,0.0743,0.1781,4.6906,99.7348
14,26,0.2753,0.0350,0.0949,0.1680,5.5888,101.9989
15,22,0.1717,0.0261,0.0886,0.1613,4.1055,82.9964
16,21,0.2301,0.0339,0.0944,0.1413,3.8285,77.2175
17,16,0.2586,0.0200,0.0892,0.0993,3.2108,54.9403
18,29,0.2269,0.0390,0.0914,0.1977,6.4789,120.8464
19,21,0.2286,0.0514,0.1135,0.1840,3.5990,77.4867
20,18,0.2859,0.0310,0.0748,0.1466,2.4862,62.1397
21,10,0.3262,0.0375,0.0980,0.0970,1.1297,30.8501
22,22,0.2690,0.0311,0.0831,0.1708,4.0519,81.0419
23,15,0.2863,0.0237,0.0720,0.1245,2.6003,51.2781
24,24,0.2316,0.0419,0.0788,0.1767,4.8034,94.8939
25,12,0.2283,0.0187,0.0547,0.1072,1.5949,38.0186
26,21,0.2847,0.0278,0.0721,0.1525,4.2689,76.6618
27,23,0.2781,0.0424,0.1080,0.1586,4.3611,88.4275
28,25,0.2344,0.0353,0.0733,0.1869,5.1651,96.6214
29,17,0.2750,0.0229,0.0668,0.1272,3.0703,59.2604
