Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,17,0.2179,0.0451,0.1063,0.1427,0.9701,58.1919
1,8,0.3183,0.0428,0.0719,0.0484,0.7754,26.7920
2,15,0.2662,0.0527,0.0983,0.1042,0.9108,51.2405
3,10,0.3183,0.0313,0.0729,0.0779,0.8347,32.6559
4,13,0.2277,0.0363,0.0904,0.0916,0.8714,43.6849
5,16,0.2177,0.0640,0.1081,0.1152,0.9217,55.1773
6,14,0.3153,0.0339,0.0824,0.1008,0.8835,46.9987
7,12,0.2815,0.0302,0.0770,0.1003,0.8538,39.0981
8,15,0.2872,0.0379,0.0663,0.0986,0.9135,50.3994
9,15,0.2868,0.0514,0.1154,0.1146,0.9105,50.2306
10,18,0.2702,0.0307,0.0736,0.1417,0.9791,61.7786
11,14,0.2742,0.0511,0.1083,0.1337,0.8891,46.3870
12,16,0.2201,0.0603,0.1202,0.1208,1.0019,54.6178
13,12,0.2540,0.0474,0.1182,0.0787,0.8609,39.5839
14,22,0.2120,0.0308,0.0773,0.1371,1.1255,79.5131
15,2,0.2832,0.0002,0.0004,0.0099,0.6619,9.9627
16,16,0.2171,0.0519,0.1333,0.1035,0.9369,53.9635
17,7,0.2008,0.0273,0.0675,0.0438,0.7383,23.6803
18,20,0.2652,0.0280,0.0751,0.1418,1.0673,70.1028
19,9,0.1877,0.0153,0.0522,0.0776,0.7925,30.2033
20,19,0.2266,0.0372,0.0864,0.1543,1.0663,66.7671
21,18,0.3063,0.0516,0.1099,0.1600,0.9725,61.7264
22,13,0.3101,0.0301,0.0730,0.1061,0.9082,43.0348
23,10,0.3048,0.0428,0.1043,0.0875,0.8081,32.8108
24,17,0.2447,0.0259,0.0815,0.1253,1.0067,58.1518
25,13,0.2700,0.0470,0.1218,0.1151,0.8558,42.9800
26,16,0.2878,0.0326,0.0905,0.1219,0.9760,54.5002
27,13,0.1863,0.0496,0.1160,0.0900,0.8689,43.5588
28,15,0.2817,0.0332,0.0818,0.1050,0.9474,50.0816
29,15,0.2770,0.0529,0.1210,0.1112,0.9344,50.9703
