Method,Space Utilization,Occupancy,Decision Time,Local Stability,Static Stability
DBL,0.349,0.815,0.744,0.041,0.259
TAPNet++,0.314,0.801,0.091,0.043,0.259
PCT,0.29,0.802,0.527,0.034,0.371
CDRL,0.286,0.759,0.064,0.046,0.268
OnlineBPH,0.277,0.745,0.002,0.036,0.222
AR2L,0.265,0.792,1.183,0.043,0.334
HeightmapMin,0.255,0.831,0.98,0.046,0.306
LSAH,0.254,0.748,0.002,0.045,0.244
BR,0.169,0.729,0.003,0.057,0.263
PackE,0.162,0.687,0.082,0.043,0.208
SDFPack,0.155,0.732,14.225,0.058,0.289
MACS,0.135,0.738,4.636,0.049,0.266
