Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,12,0.484,0.002,0.009,0.909,13.025,68.540
1,12,0.464,0.004,0.015,0.902,13.588,66.425
2,10,0.465,0.002,0.007,0.933,11.256,56.469
3,10,0.494,0.002,0.006,0.911,11.485,57.246
4,12,0.468,0.004,0.009,0.931,12.677,70.235
5,11,0.486,0.002,0.007,0.941,11.535,61.414
6,8,0.444,0.001,0.002,0.907,8.312,44.017
7,14,0.491,0.003,0.007,0.940,14.488,79.840
8,14,0.426,0.008,0.025,0.934,16.599,82.656
9,9,0.487,0.001,0.002,0.956,9.622,48.184
10,9,0.450,0.002,0.003,0.948,10.766,51.407
11,9,0.480,0.002,0.004,0.931,9.271,48.160
12,9,0.512,0.001,0.005,0.946,9.680,50.157
13,13,0.465,0.004,0.010,0.893,13.775,72.360
14,11,0.463,0.002,0.008,0.917,12.851,60.964
15,8,0.449,0.001,0.004,0.953,8.277,44.283
16,11,0.500,0.002,0.004,0.951,13.163,64.421
17,15,0.435,0.005,0.012,0.869,15.216,83.708
18,6,0.498,0.001,0.002,0.923,6.153,34.245
19,13,0.479,0.004,0.010,0.896,13.298,70.352
20,8,0.525,0.001,0.003,0.967,7.987,43.543
21,9,0.459,0.001,0.003,0.907,10.075,54.288
22,14,0.499,0.003,0.007,0.898,14.288,76.808
23,11,0.509,0.001,0.002,0.911,12.414,61.210
24,12,0.481,0.001,0.004,0.928,9.658,59.539
25,8,0.488,0.001,0.003,0.914,6.903,40.881
26,10,0.468,0.001,0.003,0.971,9.543,51.398
27,11,0.474,0.001,0.002,0.949,9.435,54.269
28,11,0.527,0.003,0.008,0.894,9.199,56.227
29,11,0.496,0.002,0.006,0.883,8.951,57.222
