Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,3,0.407,0.001,0.003,0.942,0.779,12.836
1,3,0.470,0.000,0.001,0.982,0.772,12.779
2,2,0.588,0.000,0.000,0.939,0.746,9.967
3,2,0.470,0.000,0.000,0.983,0.657,9.667
4,1,0.562,0.000,0.000,0.985,0.614,7.039
5,3,0.433,0.000,0.001,0.881,0.774,12.770
6,5,0.462,0.001,0.003,0.934,0.940,18.489
7,1,0.470,0.000,0.000,0.975,0.622,7.096
8,2,0.402,0.000,0.000,0.974,0.718,9.744
9,1,0.558,0.000,0.000,0.968,0.590,7.080
10,1,0.380,0.001,0.001,0.982,0.582,7.118
11,1,0.521,0.000,0.000,0.977,0.568,7.082
12,3,0.453,0.000,0.000,0.953,0.782,12.497
13,1,0.359,0.000,0.000,0.973,0.580,7.019
14,2,0.366,0.000,0.000,0.989,0.681,9.750
15,1,0.360,0.000,0.000,0.985,0.585,7.110
16,2,0.480,0.000,0.000,0.993,0.729,9.767
17,5,0.484,0.000,0.001,0.948,0.971,18.900
18,1,0.491,0.000,0.000,0.980,0.587,6.963
19,1,0.423,0.000,0.000,0.990,0.597,7.040
20,2,0.535,0.000,0.000,1.000,0.733,9.928
21,2,0.497,0.000,0.001,0.902,0.670,9.935
22,1,0.593,0.000,0.000,0.984,0.596,7.021
23,1,0.417,0.000,0.000,0.988,0.569,7.064
24,2,0.397,0.000,0.000,0.989,0.673,9.794
25,1,0.593,0.000,0.000,0.984,0.589,7.064
26,4,0.445,0.001,0.005,0.936,0.869,15.866
27,3,0.439,0.000,0.001,0.956,0.775,12.588
28,1,0.480,0.000,0.000,0.982,0.591,7.105
29,1,0.580,0.000,0.000,0.984,0.592,7.050
