Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,15,0.4343,0.0044,0.0141,0.4883,0.0451,48.0567
1,11,0.4891,0.0014,0.0036,0.5230,0.0240,34.1378
2,6,0.4617,0.0010,0.0018,0.2553,0.0102,19.1330
3,7,0.5015,0.0023,0.0044,0.4693,0.0116,21.3305
4,5,0.4693,0.0005,0.0012,0.2220,0.0082,16.4470
5,1,0.4822,0.0010,0.0010,0.0140,0.0010,6.0556
6,4,0.4174,0.0013,0.0042,0.1777,0.0058,13.6133
7,11,0.4900,0.0011,0.0032,0.4937,0.0225,33.5038
8,6,0.4629,0.0103,0.0388,0.2374,0.0108,19.0697
9,9,0.4974,0.0020,0.0139,0.4651,0.0169,27.7387
10,3,0.5587,0.0016,0.0025,0.1304,0.0035,10.7291
11,3,0.4912,0.0003,0.0005,0.1434,0.0043,10.8939
12,8,0.4549,0.0007,0.0016,0.3157,0.0164,24.9915
13,5,0.3599,0.0042,0.0186,0.2557,0.0096,16.4651
14,2,0.4772,0.0001,0.0002,0.1184,0.0022,8.5314
15,9,0.4993,0.0014,0.0045,0.4916,0.0211,28.2238
16,9,0.4761,0.0061,0.0192,0.3274,0.0171,27.9952
17,13,0.4927,0.0017,0.0040,0.5426,0.0335,41.5468
18,8,0.4623,0.0014,0.0098,0.4189,0.0129,24.7681
19,9,0.5389,0.0011,0.0048,0.2876,0.0248,27.0291
20,4,0.4722,0.0002,0.0005,0.1707,0.0081,13.4481
21,6,0.4414,0.0009,0.0024,0.2591,0.0111,18.5911
22,5,0.4129,0.0006,0.0011,0.2078,0.0094,16.1417
23,13,0.4116,0.0058,0.0218,0.5337,0.0264,42.1734
24,4,0.4063,0.0023,0.0077,0.2231,0.0076,13.5524
25,9,0.4533,0.0019,0.0072,0.5238,0.0116,27.3408
26,3,0.4457,0.0005,0.0012,0.1217,0.0041,10.8377
27,11,0.4448,0.0026,0.0111,0.4914,0.0247,34.2478
28,7,0.4702,0.0008,0.0015,0.3734,0.0111,21.2151
29,2,0.5611,0.0004,0.0007,0.1039,0.0032,8.4846
