Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,4,0.221,0.000,0.001,0.988,2.000,30.780
1,7,0.404,0.001,0.005,0.966,1.862,30.352
2,10,0.264,0.013,0.034,0.963,3.076,43.897
3,3,0.487,0.000,0.001,0.982,0.404,16.883
4,13,0.321,0.012,0.045,0.963,3.533,56.100
5,6,0.265,0.004,0.014,0.980,1.375,28.046
6,8,0.396,0.360,1.149,0.904,2.507,36.141
7,18,0.381,0.005,0.023,0.952,8.219,83.605
8,15,0.313,0.016,0.040,0.942,6.046,70.323
9,13,0.254,0.016,0.074,0.934,4.485,59.707
10,5,0.302,0.007,0.034,0.962,0.863,23.617
11,11,0.387,0.008,0.030,0.889,2.841,46.353
12,7,0.456,0.000,0.001,0.986,1.915,29.223
13,13,0.209,0.012,0.066,0.927,2.555,56.693
14,12,0.370,0.007,0.037,0.967,3.650,51.052
15,12,0.336,0.011,0.028,0.957,3.291,50.607
16,12,0.429,0.006,0.028,0.965,3.706,50.998
17,20,0.291,0.015,0.047,0.921,6.631,90.696
18,6,0.390,0.001,0.004,0.954,1.172,25.935
19,11,0.243,0.007,0.029,0.979,3.745,46.568
20,17,0.288,0.012,0.046,0.938,4.226,74.706
21,6,0.503,0.001,0.001,0.983,1.249,25.521
22,6,0.261,0.001,0.002,0.993,1.568,26.150
23,4,0.449,0.001,0.001,0.987,0.830,19.511
24,10,0.389,0.002,0.004,0.959,2.486,41.410
25,8,0.303,0.011,0.034,0.950,1.879,34.609
26,10,0.129,0.004,0.010,0.936,2.962,43.133
27,8,0.359,0.005,0.032,0.974,1.530,32.701
28,6,0.186,0.006,0.030,0.977,1.340,26.587
29,4,0.490,0.000,0.001,0.983,0.811,19.365
