Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,11,0.339,0.006,0.016,0.964,6.042,53.953
1,12,0.348,0.013,0.051,0.963,5.391,53.368
2,9,0.405,0.002,0.005,0.980,3.602,40.022
3,14,0.450,0.005,0.013,0.975,6.304,61.442
4,14,0.328,0.010,0.029,0.970,5.703,63.511
5,17,0.302,0.014,0.026,0.969,6.787,77.719
6,13,0.369,0.004,0.013,0.931,5.819,58.289
7,18,0.401,0.005,0.014,0.966,10.589,88.628
8,21,0.329,0.014,0.046,0.950,10.735,109.579
9,12,0.467,0.003,0.007,0.968,6.046,55.627
10,15,0.406,0.015,0.043,0.956,4.423,64.029
11,12,0.453,0.005,0.019,0.925,4.323,51.111
12,19,0.360,0.014,0.033,0.951,8.838,88.041
13,14,0.430,0.006,0.017,0.964,5.705,60.147
14,11,0.457,0.002,0.005,0.977,4.474,46.639
15,7,0.421,0.001,0.002,0.981,2.353,30.806
16,10,0.469,0.007,0.016,0.984,4.016,43.032
17,19,0.339,0.013,0.026,0.958,8.718,87.237
18,12,0.352,0.052,0.137,0.962,4.478,52.603
19,15,0.392,0.010,0.029,0.966,6.546,67.231
20,16,0.458,0.003,0.006,0.941,4.873,66.939
21,9,0.439,0.002,0.004,0.962,3.041,38.649
22,17,0.390,0.008,0.016,0.973,8.420,79.017
23,20,0.352,0.016,0.048,0.949,8.754,92.871
24,19,0.434,0.007,0.019,0.955,8.238,85.592
25,7,0.480,0.001,0.003,0.957,2.344,31.171
26,11,0.314,0.023,0.046,0.977,4.219,48.689
27,8,0.426,0.002,0.004,0.978,2.389,34.778
28,12,0.374,0.016,0.092,0.966,4.887,52.404
29,15,0.450,0.003,0.007,0.937,6.114,65.556
