Data,Feasible Num,Space Utilization,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,3,0.052,0.477,0.000,0.967,0.004,16.091
1,6,0.169,0.482,0.000,0.981,0.013,24.625
2,20,0.397,0.414,0.006,0.955,0.080,80.072
3,17,0.409,0.382,0.018,0.940,0.049,69.125
4,21,0.462,0.341,0.021,0.874,0.067,91.138
5,6,0.193,0.483,0.001,0.969,0.013,24.503
6,8,0.195,0.445,0.003,0.966,0.020,30.672
7,7,0.236,0.416,0.004,0.971,0.016,27.893
8,7,0.179,0.490,0.001,0.969,0.014,27.854
9,12,0.234,0.429,0.004,0.945,0.027,45.007
10,8,0.286,0.429,0.001,0.973,0.018,32.450
11,19,0.441,0.359,0.012,0.951,0.061,77.500
12,12,0.265,0.395,0.003,0.935,0.038,46.829
13,11,0.269,0.468,0.002,0.984,0.041,42.897
14,8,0.203,0.448,0.003,0.936,0.020,32.087
15,17,0.386,0.392,0.007,0.919,0.055,68.302
16,9,0.310,0.398,0.005,0.942,0.020,35.896
17,13,0.310,0.420,0.004,0.961,0.043,50.168
18,11,0.202,0.411,0.008,0.950,0.039,41.128
19,18,0.597,0.332,0.021,0.910,0.042,74.767
20,16,0.393,0.366,0.010,0.918,0.046,64.878
21,8,0.214,0.429,0.004,0.934,0.016,31.758
22,16,0.389,0.414,0.023,0.950,0.046,65.984
23,15,0.392,0.488,0.069,0.922,0.038,58.801
24,14,0.352,0.377,0.012,0.919,0.040,55.565
25,3,0.052,0.510,0.000,0.985,0.005,16.113
26,10,0.225,0.456,0.000,0.930,0.024,38.245
27,17,0.369,0.402,0.008,0.927,0.053,67.564
28,7,0.179,0.427,0.005,0.973,0.013,28.219
29,8,0.197,0.443,0.002,0.966,0.020,31.500
