Data,Feasible Num,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,5,0.469,0.005,0.843,10.854,33.953
1,4,0.558,0.001,0.971,11.565,37.788
2,5,0.457,0.006,0.833,11.716,36.331
3,5,0.451,0.007,0.951,17.048,43.281
4,8,0.425,0.698,0.799,41.702,89.500
5,4,0.517,0.001,0.974,15.104,46.901
6,11,0.382,0.021,0.873,47.163,101.805
7,4,0.437,0.005,0.977,9.121,34.708
8,5,0.448,0.006,0.804,15.816,43.237
9,6,0.370,0.003,0.717,17.167,51.067
10,5,0.399,0.006,0.904,16.981,39.830
11,4,0.442,0.003,0.995,13.960,44.187
12,5,0.406,0.005,0.869,5.464,30.065
13,4,0.473,0.002,0.966,10.641,32.207
14,8,0.430,0.031,0.831,13.871,51.317
15,5,0.464,0.005,0.943,16.769,42.565
16,4,0.405,0.001,0.984,5.572,29.740
17,6,0.416,0.004,0.955,26.456,62.562
18,6,0.397,0.003,0.853,17.714,46.461
19,4,0.496,0.005,0.881,6.086,32.171
20,5,0.463,0.016,0.768,14.564,43.217
21,5,0.484,0.006,0.834,14.630,38.529
22,5,0.437,0.001,0.877,11.997,45.268
23,6,0.439,0.007,0.802,10.302,36.598
24,6,0.448,0.006,0.766,20.132,62.462
25,6,0.489,0.009,0.865,11.375,44.056
26,2,0.607,0.000,1.000,0.575,16.170
27,6,0.420,0.003,0.804,17.801,47.810
28,5,0.484,0.002,0.950,11.106,37.193
29,6,0.370,0.011,0.824,22.300,52.579
